,model_version_id,covariate_id,covariate_name_short,location_id,location_name,year_id,age_group_id,age_group_name,sex_id,sex,mean_value,lower_value,upper_value
43,34911,13,ASFR,141,Egypt,2019,14,45 to 49,2,Female,0.0015846280426449401,0.000802349067799164,0.00304367577601028
44,34911,13,ASFR,141,Egypt,2019,15,50 to 54,2,Female,5.3729965543278e-05,5.18556429094651e-05,5.5555434004968505e-05
45,34911,13,ASFR,161,Bangladesh,2019,7,10 to 14,2,Female,0.000760068393274266,0.00033761644644254,0.00157359615466947
46,34911,13,ASFR,161,Bangladesh,2019,8,15 to 19,2,Female,0.0583491479526507,0.0492419724958096,0.0684842568797314
47,34911,13,ASFR,161,Bangladesh,2019,9,20 to 24,2,Female,0.11747565725466401,0.10070866666891198,0.135509265759242
48,34911,13,ASFR,161,Bangladesh,2019,10,25 to 29,2,Female,0.10033423894116301,0.0902839797115559,0.11105756276914999
49,34911,13,ASFR,161,Bangladesh,2019,11,30 to 34,2,Female,0.05408622981953201,0.0474352286954058,0.0613884294446351
50,34911,13,ASFR,161,Bangladesh,2019,12,35 to 39,2,Female,0.024818139299782,0.0200613993962404,0.0303501437058258
51,34911,13,ASFR,161,Bangladesh,2019,13,40 to 44,2,Female,0.00613482863627206,0.0048433529192434795,0.00767514937387552
52,34911,13,ASFR,161,Bangladesh,2019,14,45 to 49,2,Female,0.00285156793558365,0.00176999685759597,0.00433942806087317
53,34911,13,ASFR,161,Bangladesh,2019,15,50 to 54,2,Female,9.668808250262429e-05,9.3315203707296e-05,9.99730472973197e-05
54,34911,13,ASFR,163,India,2019,7,10 to 14,2,Female,0.00023069297852558,0.000101977756789688,0.00046592851689538603
55,34911,13,ASFR,163,India,2019,8,15 to 19,2,Female,0.013521301136416001,0.0111354950981098,0.0162878134513643
56,34911,13,ASFR,163,India,2019,9,20 to 24,2,Female,0.12998729447220403,0.11271418661092801,0.148395718976701
57,34911,13,ASFR,163,India,2019,10,25 to 29,2,Female,0.147397057277724,0.134767639057556,0.16054188790644103
58,34911,13,ASFR,163,India,2019,11,30 to 34,2,Female,0.07558142020450999,0.0661735729435595,0.0858055184300324
59,34911,13,ASFR,163,India,2019,12,35 to 39,2,Female,0.0270349135635172,0.0217020691078798,0.0332462984811556
60,34911,13,ASFR,163,India,2019,13,40 to 44,2,Female,0.00773328149555498,0.00592975482568135,0.00991985644241645
61,34911,13,ASFR,163,India,2019,14,45 to 49,2,Female,0.00271755035855272,0.00163747155783496,0.00423626030796656
62,34911,13,ASFR,163,India,2019,15,50 to 54,2,Female,9.21439499981619e-05,8.89295892721835e-05,9.52745284929823e-05
63,34911,13,ASFR,164,Nepal,2019,7,10 to 14,2,Female,0.0006294597810186731,0.000279224365717419,0.00130837779283253
64,34911,13,ASFR,164,Nepal,2019,8,15 to 19,2,Female,0.0730209259275253,0.0633275385293749,0.0850200965139254
65,34911,13,ASFR,164,Nepal,2019,9,20 to 24,2,Female,0.14902569203082197,0.130373566247747,0.171212265065054
66,34911,13,ASFR,164,Nepal,2019,10,25 to 29,2,Female,0.10111252690241301,0.0908332472767358,0.113574019217123
67,34911,13,ASFR,164,Nepal,2019,11,30 to 34,2,Female,0.0570191598622614,0.0499398195343837,0.06587030130955099
68,34911,13,ASFR,164,Nepal,2019,12,35 to 39,2,Female,0.0215881558393257,0.0172775214402569,0.0266407795608911
69,34911,13,ASFR,164,Nepal,2019,13,40 to 44,2,Female,0.00638615190419701,0.00485060677087356,0.00826100878584051
70,34911,13,ASFR,164,Nepal,2019,14,45 to 49,2,Female,0.00204868462753687,0.00120726091038715,0.00325814178536948
71,34911,13,ASFR,164,Nepal,2019,15,50 to 54,2,Female,6.94647270427383e-05,6.70415110806329e-05,7.182478194197919e-05
72,34911,13,ASFR,165,Pakistan,2019,7,10 to 14,2,Female,0.000532285985145442,0.00023678871958880698,0.00111013680214735
73,34911,13,ASFR,165,Pakistan,2019,8,15 to 19,2,Female,0.0884119115773435,0.0759098436594211,0.10377727971643198
74,34911,13,ASFR,165,Pakistan,2019,9,20 to 24,2,Female,0.212553852508596,0.187665709269888,0.24032377081933604
75,34911,13,ASFR,165,Pakistan,2019,10,25 to 29,2,Female,0.208425493642755,0.192625499228534,0.22634448859257397
76,34911,13,ASFR,165,Pakistan,2019,11,30 to 34,2,Female,0.140852732257984,0.124623471315895,0.160112535044466
77,34911,13,ASFR,165,Pakistan,2019,12,35 to 39,2,Female,0.05580460600115499,0.0442566144316996,0.070893837347705
78,34911,13,ASFR,165,Pakistan,2019,13,40 to 44,2,Female,0.027213743324119997,0.0212021420599878,0.0341914749765398
79,34911,13,ASFR,165,Pakistan,2019,14,45 to 49,2,Female,0.0106105593910568,0.00631785039992902,0.0162183534224974
80,34911,13,ASFR,165,Pakistan,2019,15,50 to 54,2,Female,0.00035977212010259,0.000347221785835579,0.000371995330223836
81,34911,13,ASFR,168,Angola,2019,7,10 to 14,2,Female,0.00167295207364174,0.000737950601918488,0.00350808159606399
82,34911,13,ASFR,168,Angola,2019,8,15 to 19,2,Female,0.12150350861840499,0.10693709564421701,0.137307735746282
83,34911,13,ASFR,168,Angola,2019,9,20 to 24,2,Female,0.206393349433243,0.181591752347362,0.232060884952597
84,34911,13,ASFR,168,Angola,2019,10,25 to 29,2,Female,0.21697788965384698,0.20141651417339002,0.23312178442223103
85,34911,13,ASFR,168,Angola,2019,11,30 to 34,2,Female,0.206270438852675,0.189302487630752,0.223776906994401
86,34911,13,ASFR,168,Angola,2019,12,35 to 39,2,Female,0.155129222695482,0.136863868644552,0.17360342187214498
87,34911,13,ASFR,168,Angola,2019,13,40 to 44,2,Female,0.0716247171245018,0.0605305231662092,0.0843609158547294
88,34911,13,ASFR,168,Angola,2019,14,45 to 49,2,Female,0.0132435356687665,0.00784752698291068,0.0210831628049028
89,34911,13,ASFR,168,Angola,2019,15,50 to 54,2,Female,0.00044904841767554006,0.000433383758217509,0.000464304778180339
90,34911,13,ASFR,171,Democratic Republic of the Congo,2019,7,10 to 14,2,Female,0.00128713357686988,0.0005719963155216031,0.0026786604337376
91,34911,13,ASFR,171,Democratic Republic of the Congo,2019,8,15 to 19,2,Female,0.0782314503274603,0.0683602476779024,0.0889002441590273
92,34911,13,ASFR,171,Democratic Republic of the Congo,2019,9,20 to 24,2,Female,0.19123883153316398,0.16952767204971,0.213251824549901
93,34911,13,ASFR,171,Democratic Republic of the Congo,2019,10,25 to 29,2,Female,0.20480604028599803,0.190134447600845,0.21959683080245104
94,34911,13,ASFR,171,Democratic Republic of the Congo,2019,11,30 to 34,2,Female,0.209889136381349,0.19446338369240898,0.225216412926679
95,34911,13,ASFR,171,Democratic Republic of the Congo,2019,12,35 to 39,2,Female,0.155760265480772,0.139910563526672,0.171288584038969
96,34911,13,ASFR,171,Democratic Republic of the Congo,2019,13,40 to 44,2,Female,0.0639554202767546,0.054997237748888005,0.0731441255959471
97,34911,13,ASFR,171,Democratic Republic of the Congo,2019,14,45 to 49,2,Female,0.0150816060873747,0.0110199102627283,0.0197421615824267
98,34911,13,ASFR,171,Democratic Republic of the Congo,2019,15,50 to 54,2,Female,0.0005113718510618981,0.000493533093395692,0.000528745641959975
99,34911,13,ASFR,179,Ethiopia,2019,7,10 to 14,2,Female,0.00168193885291045,0.000745373456081956,0.00349374325520331
100,34911,13,ASFR,179,Ethiopia,2019,8,15 to 19,2,Female,0.070365913894435,0.06024069497554701,0.0830065083632503
101,34911,13,ASFR,179,Ethiopia,2019,9,20 to 24,2,Female,0.20044403475359,0.177245980817057,0.22672117995347302
102,34911,13,ASFR,179,Ethiopia,2019,10,25 to 29,2,Female,0.198654275186772,0.18332317482879298,0.216164876918195
103,34911,13,ASFR,179,Ethiopia,2019,11,30 to 34,2,Female,0.18933868158558398,0.173100561677934,0.20571484570260398
104,34911,13,ASFR,179,Ethiopia,2019,12,35 to 39,2,Female,0.149225512727102,0.131790653796084,0.166431570946313
105,34911,13,ASFR,179,Ethiopia,2019,13,40 to 44,2,Female,0.06324655919968,0.0534222269666147,0.0734685545538484
106,34911,13,ASFR,179,Ethiopia,2019,14,45 to 49,2,Female,0.0199616940709633,0.0137466192538074,0.0268062559713864
107,34911,13,ASFR,179,Ethiopia,2019,15,50 to 54,2,Female,0.000676840940431745,0.000653229938985621,0.0006998365217213679
108,34911,13,ASFR,180,Kenya,2019,7,10 to 14,2,Female,0.001377231671323,0.000611615891071811,0.00285169732896462
109,34911,13,ASFR,180,Kenya,2019,8,15 to 19,2,Female,0.0587736304207446,0.0498679187978056,0.0700401487327981
110,34911,13,ASFR,180,Kenya,2019,9,20 to 24,2,Female,0.18666760513455,0.162473536832789,0.214475471624333
