location_name,nutrient,vehicle,coverage_level,measure,value,lower,upper
Bangladesh,Folic acid,Wheat flour,0.2,counts_averted,3051.4745100560035,1009.9469231787526,6873.203469708386
Bangladesh,Folic acid,Wheat flour,0.8,counts_averted,12205.898040224012,4039.7876927150105,27492.813878833542
Bangladesh,Folic acid,Wheat flour,0.5,counts_averted,7628.686275140008,2524.8673079468804,17183.00867427097
Bangladesh,Folic acid,Wheat flour,0.5,rates_averted,55.497855838909295,18.36813270529195,125.00450325123856
Bangladesh,Folic acid,Wheat flour,0.8,rates_averted,88.79656934225487,29.389012328467118,200.00720520198163
Bangladesh,Folic acid,Wheat flour,0.2,rates_averted,22.199142335563717,7.347253082116781,50.00180130049542
Bangladesh,Folic acid,Wheat flour,0.8,pif,11.617527201454138,7.410794602693571,15.880316774902003
Bangladesh,Folic acid,Wheat flour,0.2,pif,2.9043818003635344,1.852698650673393,3.9700791937255007
Bangladesh,Folic acid,Wheat flour,0.5,pif,7.260954500908834,4.631746626683483,9.925197984313751
Bangladesh,Iron,Wheat flour,0.2,counts_averted,13858.874539698678,141.71143127625902,28695.594150980134
Bangladesh,Iron,Wheat flour,0.8,counts_averted,53738.88181426965,566.6851976268854,109126.87685789765
Bangladesh,Iron,Wheat flour,0.5,counts_averted,34113.98726227137,354.22841107940707,69931.17446004147
Bangladesh,Iron,Wheat flour,0.5,rates_averted,97.09266748971284,0.9197354411994744,195.9990367856473
Bangladesh,Iron,Wheat flour,0.8,rates_averted,153.04576992372247,1.4713722400431695,305.40018301038276
Bangladesh,Iron,Wheat flour,0.2,rates_averted,39.41796368604015,0.3679452973577203,80.47936995077703
Bangladesh,Iron,Wheat flour,0.8,pif,19.58517279214113,0.17100184051932057,44.63594688835685
Bangladesh,Iron,Wheat flour,0.2,pif,5.048365531299658,0.042762380563345886,11.62747269557938
Bangladesh,Iron,Wheat flour,0.5,pif,12.429854161867363,0.10689105021921246,28.541969611165733
Bangladesh,Vitamin A,Oil,0.2,counts_averted,423.50290608289095,-17.190324410883427,946.5620284929145
Bangladesh,Vitamin A,Oil,0.5,counts_averted,1058.7572652072274,-42.97581102720855,2366.4050712322855
Bangladesh,Vitamin A,Oil,0.8,counts_averted,1694.0116243315638,-68.76129764353371,3786.248113971657
Bangladesh,Vitamin A,Oil,0.5,rates_averted,7.70234296622588,-0.3126443110815244,17.215337315375837
Bangladesh,Vitamin A,Oil,0.8,rates_averted,12.32374874596141,-0.5002308977304392,27.544539704601334
Bangladesh,Vitamin A,Oil,0.2,rates_averted,3.0809371864903525,-0.1250577244326098,6.886134926150336
Bangladesh,Vitamin A,Oil,0.8,pif,20.81592261793185,-0.9131548506825686,37.73041024504734
Bangladesh,Vitamin A,Oil,0.2,pif,5.2039806544829625,-0.22828871267064216,9.432602561261834
Bangladesh,Vitamin A,Oil,0.5,pif,13.009951636207402,-0.570721781676605,23.581506403154588
Bangladesh,Zinc,Wheat flour,0.2,counts_averted,37.94368560125807,3.0732603396574496,120.15590751749934
Bangladesh,Zinc,Wheat flour,0.5,counts_averted,94.85921400314517,7.683150849143624,300.3897687937484
Bangladesh,Zinc,Wheat flour,0.8,counts_averted,151.77474240503227,12.293041358629798,480.6236300699974
Bangladesh,Zinc,Wheat flour,0.8,rates_averted,1.1041446023846988,0.08943052742465349,3.496484187758586
Bangladesh,Zinc,Wheat flour,0.5,rates_averted,0.6900903764904367,0.055894079640408434,2.1853026173491163
Bangladesh,Zinc,Wheat flour,0.2,rates_averted,0.2760361505961747,0.022357631856163372,0.8741210469396465
Bangladesh,Zinc,Wheat flour,0.8,pif,15.889947151619728,9.283975833656807,22.563926192304503
Bangladesh,Zinc,Wheat flour,0.2,pif,3.972486787904932,2.320993958414202,5.640981548076126
Bangladesh,Zinc,Wheat flour,0.5,pif,9.93121696976233,5.802484896035505,14.10245387019031
Burkina Faso,Folic acid,Wheat flour,0.8,counts_averted,12420.744161589562,3181.2717460273925,31615.839023227723
Burkina Faso,Folic acid,Wheat flour,0.5,counts_averted,7762.965100993477,1988.29484126712,19759.89938951732
Burkina Faso,Folic acid,Wheat flour,0.2,counts_averted,3105.1860403973906,795.3179365068478,7903.959755806924
Burkina Faso,Folic acid,Wheat flour,0.5,rates_averted,191.91710825316335,49.15490296894854,488.5069945405642
Burkina Faso,Folic acid,Wheat flour,0.8,rates_averted,307.0673732050614,78.64784475031766,781.6111912649034
Burkina Faso,Folic acid,Wheat flour,0.2,rates_averted,76.76684330126534,19.66196118757941,195.40279781622567
Burkina Faso,Folic acid,Wheat flour,0.2,pif,1.5022433605701162,0.5317145389685481,2.7643301913498504
Burkina Faso,Folic acid,Wheat flour,0.5,pif,3.75560840142529,1.3292863474213703,6.910825478374629
Burkina Faso,Folic acid,Wheat flour,0.8,pif,6.008973442280465,2.126858155874193,11.05732076539941
Burkina Faso,Iron,Wheat flour,0.8,counts_averted,12337.466258869536,139.20461878803988,28403.458686357768
Burkina Faso,Iron,Wheat flour,0.5,counts_averted,7770.7267134946105,87.00837560481409,17969.545060088116
Burkina Faso,Iron,Wheat flour,0.2,counts_averted,3132.164748175178,34.805545756788014,7273.899325731105
Burkina Faso,Iron,Wheat flour,0.2,rates_averted,57.245145004498504,0.62910895868824,132.25319240244042
Burkina Faso,Iron,Wheat flour,0.5,rates_averted,142.13339641048947,1.5726808035109812,327.1546809833336
Burkina Faso,Iron,Wheat flour,0.8,rates_averted,225.83999282891367,2.5161427330646524,517.3944619891694
Burkina Faso,Iron,Wheat flour,0.2,pif,4.468543137483737,0.04429945564418355,11.45410720606229
Burkina Faso,Iron,Wheat flour,0.8,pif,17.56826709075503,0.17717422771785854,44.81665847960199
Burkina Faso,Iron,Wheat flour,0.5,pif,11.07577863998295,0.11074126574520939,28.339317473160442
Burkina Faso,Vitamin A,Oil,0.8,counts_averted,-8830.263897660248,-42367.70279001141,5634.67598944215
Burkina Faso,Vitamin A,Oil,0.5,counts_averted,-5518.914936037655,-26479.81424375713,3521.6724934013337
Burkina Faso,Vitamin A,Oil,0.2,counts_averted,-2207.565974415062,-10591.925697502857,1408.668997360533
Burkina Faso,Vitamin A,Oil,0.5,rates_averted,-136.43938642516756,-654.6376688067845,87.06327960456709
Burkina Faso,Vitamin A,Oil,0.2,rates_averted,-54.57575457006702,-261.85506752271397,34.825311841826824
Burkina Faso,Vitamin A,Oil,0.8,rates_averted,-218.30301828026808,-1047.4202700908554,139.30124736730778
Burkina Faso,Vitamin A,Oil,0.2,pif,-3.313491105122037,-14.224813564921424,2.0761480106162775
Burkina Faso,Vitamin A,Oil,0.5,pif,-8.283727762805093,-35.56203391230357,5.190370026540694
Burkina Faso,Vitamin A,Oil,0.8,pif,-13.253964420488147,-56.899254259685726,8.304592042465112
Burkina Faso,Zinc,Wheat flour,0.8,counts_averted,298.5310502084672,0.0,1156.7455700226924
Burkina Faso,Zinc,Wheat flour,0.5,counts_averted,186.581906380292,0.0,722.965981264183
Burkina Faso,Zinc,Wheat flour,0.2,counts_averted,74.63276255211679,0.0,289.1863925056731
Burkina Faso,Zinc,Wheat flour,0.2,rates_averted,1.845081587203605,0.0,7.1493064149870245
Burkina Faso,Zinc,Wheat flour,0.8,rates_averted,7.38032634881442,0.0,28.597225659948098
Burkina Faso,Zinc,Wheat flour,0.5,rates_averted,4.612703968009012,0.0,17.873266037467566
Burkina Faso,Zinc,Wheat flour,0.2,pif,4.441082577665275,1.8476212665618446,7.455006339821774
Burkina Faso,Zinc,Wheat flour,0.5,pif,11.10270644416319,4.61905316640461,18.63751584955443
Burkina Faso,Zinc,Wheat flour,0.8,pif,17.764330310661105,7.390485066247376,29.820025359287097
Ethiopia,Folic acid,Wheat flour,0.5,counts_averted,8232.694794669833,3650.6087591968194,14943.485690004085
Ethiopia,Folic acid,Wheat flour,0.2,counts_averted,3293.0779178679336,1460.2435036787276,5977.394276001634
Ethiopia,Folic acid,Wheat flour,0.8,counts_averted,13172.311671471734,5840.9740147149105,23909.57710400654
Ethiopia,Folic acid,Wheat flour,0.8,rates_averted,78.9722563442102,35.01852284507922,143.34562521995784
Ethiopia,Folic acid,Wheat flour,0.2,rates_averted,19.74306408605255,8.754630711269805,35.83640630498945
Ethiopia,Folic acid,Wheat flour,0.5,rates_averted,49.35766021513136,21.886576778174508,89.59101576247362
Ethiopia,Folic acid,Wheat flour,0.8,pif,5.13201248943202,2.6042628136051222,7.785657649747931
Ethiopia,Folic acid,Wheat flour,0.2,pif,1.283003122358005,0.6510657034012806,1.9464144124369827
Ethiopia,Folic acid,Wheat flour,0.5,pif,3.207507805895012,1.6276642585032015,4.866036031092456
Ethiopia,Iron,Wheat flour,0.5,counts_averted,12355.94690380233,87.49264347196718,26630.63626283115
Ethiopia,Iron,Wheat flour,0.8,counts_averted,19632.21178523392,139.98255346610168,42079.489736077354
Ethiopia,Iron,Wheat flour,0.2,counts_averted,4976.8555501384535,34.99847642347014,10785.68308001078
Ethiopia,Iron,Wheat flour,0.8,rates_averted,87.60628345219212,0.6813616602118647,185.01312756156506
Ethiopia,Iron,Wheat flour,0.2,rates_averted,22.19585552020024,0.17035479856223956,47.27450518725869
Ethiopia,Iron,Wheat flour,0.5,rates_averted,55.121202475825775,0.4258690169693851,116.9066805392052
Ethiopia,Iron,Wheat flour,0.8,pif,9.226293505757967,0.07136578480023767,21.54213134482214
Ethiopia,Iron,Wheat flour,0.2,pif,2.339965545012945,0.017842841925573682,5.502584892892449
Ethiopia,Iron,Wheat flour,0.5,pif,5.80806433361683,0.04460536014691148,13.610139864295565
Ethiopia,Vitamin A,Oil,0.5,counts_averted,21489.31496878013,-1658.7271340824987,53376.252168058774
Ethiopia,Vitamin A,Oil,0.8,counts_averted,34382.90395004821,-2653.9634145319983,85402.00346889402
Ethiopia,Vitamin A,Oil,0.2,counts_averted,8595.725987512053,-663.4908536329996,21350.500867223505
Ethiopia,Vitamin A,Oil,0.2,rates_averted,51.53414928835696,-3.977841633418454,128.00313791658635
Ethiopia,Vitamin A,Oil,0.5,rates_averted,128.8353732208924,-9.94460408354613,320.00784479146597
Ethiopia,Vitamin A,Oil,0.8,rates_averted,206.13659715342783,-15.911366533673815,512.0125516663454
Ethiopia,Vitamin A,Oil,0.8,pif,22.476449783717236,-1.3230405101295095,37.48658583758853
Ethiopia,Vitamin A,Oil,0.2,pif,5.619112445929309,-0.3307601275323774,9.37164645939713
Ethiopia,Vitamin A,Oil,0.5,pif,14.047781114823271,-0.8269003188309435,23.429116148492827
Ethiopia,Zinc,Wheat flour,0.5,counts_averted,286.58881133250594,0.0,1072.1977698649637
Ethiopia,Zinc,Wheat flour,0.2,counts_averted,114.63552453300238,0.0,428.8791079459855
Ethiopia,Zinc,Wheat flour,0.8,counts_averted,458.5420981320095,0.0,1715.516431783942
Ethiopia,Zinc,Wheat flour,0.8,rates_averted,2.7491077512780326,0.0,10.285074236966437
Ethiopia,Zinc,Wheat flour,0.2,rates_averted,0.687276937819508,0.0,2.5712685592416094
Ethiopia,Zinc,Wheat flour,0.5,rates_averted,1.7181923445487703,0.0,6.428171398104024
Ethiopia,Zinc,Wheat flour,0.2,pif,2.745032410448665,1.4516328610228575,4.05037363869992
Ethiopia,Zinc,Wheat flour,0.5,pif,6.862581026121662,3.6290821525571437,10.125934096749802
Ethiopia,Zinc,Wheat flour,0.8,pif,10.98012964179466,5.80653144409143,16.20149455479968
