,Location name,Baseline Prevalence of Vitamin A deficiency in age group Under 5 (per 100),Baseline Number in age group Under 5 with Vitamin A deficiency (1000s),Baseline DALYs attributable to Vitamin A deficiency in age group Under 5 (1000s),"Baseline DALYs attributable to Vitamin A deficiency per 100,000 person-years in age group Under 5",Percent of population eating vitamin a fortified maize flour at baseline,Percent of population eating vitamin a fortified maize flour: 20% scale-up,Percent of population eating vitamin a fortified maize flour: 50% scale-up,Percent of population eating vitamin a fortified maize flour: 80% scale-up,Percent of population eating vitamin a fortified oil at baseline,Percent of population eating vitamin a fortified oil: 20% scale-up,Percent of population eating vitamin a fortified oil: 50% scale-up,Percent of population eating vitamin a fortified oil: 80% scale-up,Percent of population eating vitamin a fortified wheat flour at baseline,Percent of population eating vitamin a fortified wheat flour: 20% scale-up,Percent of population eating vitamin a fortified wheat flour: 50% scale-up,Percent of population eating vitamin a fortified wheat flour: 80% scale-up,"Vitamin A in industry oil DALYs averted per 100,000 person-years: 20% scale-up","Vitamin A in industry oil DALYs averted per 100,000 person-years: 50% scale-up","Vitamin A in industry oil DALYs averted per 100,000 person-years: 80% scale-up",Vitamin A in industry oil DALYs averted: 20% scale-up,Vitamin A in industry oil DALYs averted: 50% scale-up,Vitamin A in industry oil DALYs averted: 80% scale-up,Vitamin A in industry oil PIF (percent): 20% scale-up,Vitamin A in industry oil PIF (percent): 50% scale-up,Vitamin A in industry oil PIF (percent): 80% scale-up,Vitamin A in industry oil vitamin A deficiency prevalence 20% scale-up,Vitamin A in industry oil vitamin A deficiency prevalence 50% scale-up,Vitamin A in industry oil vitamin A deficiency prevalence 80% scale-up,"Vitamin A in maize flour DALYs averted per 100,000 person-years: 20% scale-up","Vitamin A in maize flour DALYs averted per 100,000 person-years: 50% scale-up","Vitamin A in maize flour DALYs averted per 100,000 person-years: 80% scale-up",Vitamin A in maize flour DALYs averted: 20% scale-up,Vitamin A in maize flour DALYs averted: 50% scale-up,Vitamin A in maize flour DALYs averted: 80% scale-up,Vitamin A in maize flour PIF (percent): 20% scale-up,Vitamin A in maize flour PIF (percent): 50% scale-up,Vitamin A in maize flour PIF (percent): 80% scale-up,Vitamin A in maize flour vitamin A deficiency prevalence 20% scale-up,Vitamin A in maize flour vitamin A deficiency prevalence 50% scale-up,Vitamin A in maize flour vitamin A deficiency prevalence 80% scale-up,"Vitamin A in oil DALYs averted per 100,000 person-years: 20% scale-up","Vitamin A in oil DALYs averted per 100,000 person-years: 50% scale-up","Vitamin A in oil DALYs averted per 100,000 person-years: 80% scale-up",Vitamin A in oil DALYs averted: 20% scale-up,Vitamin A in oil DALYs averted: 50% scale-up,Vitamin A in oil DALYs averted: 80% scale-up,Vitamin A in oil PIF (percent): 20% scale-up,Vitamin A in oil PIF (percent): 50% scale-up,Vitamin A in oil PIF (percent): 80% scale-up,Vitamin A in oil vitamin A deficiency prevalence 20% scale-up,Vitamin A in oil vitamin A deficiency prevalence 50% scale-up,Vitamin A in oil vitamin A deficiency prevalence 80% scale-up,"Vitamin A in wheat flour DALYs averted per 100,000 person-years: 20% scale-up","Vitamin A in wheat flour DALYs averted per 100,000 person-years: 50% scale-up","Vitamin A in wheat flour DALYs averted per 100,000 person-years: 80% scale-up",Vitamin A in wheat flour DALYs averted: 20% scale-up,Vitamin A in wheat flour DALYs averted: 50% scale-up,Vitamin A in wheat flour DALYs averted: 80% scale-up,Vitamin A in wheat flour PIF (percent): 20% scale-up,Vitamin A in wheat flour PIF (percent): 50% scale-up,Vitamin A in wheat flour PIF (percent): 80% scale-up,Vitamin A in wheat flour vitamin A deficiency prevalence 20% scale-up,Vitamin A in wheat flour vitamin A deficiency prevalence 50% scale-up,Vitamin A in wheat flour vitamin A deficiency prevalence 80% scale-up
10,India,"16.8
(11.1, 25.2)","19,688
(13,029, 29,510)","250.7
(118.9, 422.8)","214
(102, 361)",Not modeled,Not modeled,Not modeled,Not modeled,"24.3
(20.7, 27.7)","37.3
(34.0, 40.5)","56.8
(53.8, 59.7)","76.4
(73.7, 79.0)","2.2
(1.1, 3.3)","3.1
(2.0, 4.5)","4.6
(3.3, 6.2)","6.1
(4.6, 7.9)","13
(-1, 29)","33
(-2, 72)","53
(-3, 115)","15,451
(-736, 33,632)","38,628
(-1,839, 84,080)","61,805
(-2,943, 134,527)","6.2
(-0.3, 10.9)","15.5
(-0.8, 27.3)","24.8
(-1.3, 43.8)","15.6
(10.3, 23.3)","13.9
(8.8, 21.3)","12.1
(7.1, 20.1)",Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,"13
(-1, 28)","33
(-2, 71)","53
(-3, 113)","15,440
(-735, 33,033)","38,599
(-1,838, 82,582)","61,759
(-2,941, 132,131)","6.2
(-0.3, 10.6)","15.4
(-0.8, 26.5)","24.7
(-1.3, 42.4)","15.6
(10.3, 23.3)","13.9
(8.8, 21.4)","12.1
(7.0, 19.9)","1
(-0, 2)","2
(-0, 5)","4
(-0, 7)","1,036
(-57, 2,195)","2,591
(-143, 5,487)","4,145
(-229, 8,779)","0.4
(-0.0, 0.7)","1.0
(-0.1, 1.7)","1.7
(-0.1, 2.8)","16.7
(11.1, 25.0)","16.6
(11.0, 24.8)","16.5
(10.9, 24.6)"
11,Indonesia,"16.6
(10.8, 23.8)","3,279
(2,126, 4,694)","29.2
(12.1, 51.8)","148
(62, 263)",Not modeled,Not modeled,Not modeled,Not modeled,"43.7
(40.7, 46.7)","52.7
(49.0, 56.2)","66.1
(61.5, 70.6)","79.5
(74.0, 84.9)",Not modeled,Not modeled,Not modeled,Not modeled,"6
(-0, 14)","15
(-1, 35)","24
(-1, 56)","1,191
(-54, 2,754)","2,977
(-134, 6,884)","4,763
(-214, 11,014)","4.1
(-0.2, 7.8)","10.3
(-0.4, 19.5)","16.5
(-0.7, 31.2)","15.8
(10.2, 22.5)","14.6
(9.3, 21.3)","13.4
(8.1, 20.2)",Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,"7
(-0, 16)","17
(-1, 40)","27
(-1, 64)","1,353
(-56, 3,137)","3,382
(-141, 7,842)","5,411
(-225, 12,548)","4.7
(-0.2, 8.4)","11.7
(-0.5, 21.0)","18.7
(-0.8, 33.6)","15.7
(10.2, 22.4)","14.3
(9.0, 21.2)","12.9
(7.8, 20.0)",Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled
12,Kenya,"46.8
(35.2, 58.2)","3,004
(2,256, 3,736)","53.5
(16.5, 97.1)","833
(257, 1,513)","0.0
(0.0, 0.0)","7.4
(3.7, 11.0)","18.5
(9.2, 27.5)","29.6
(14.8, 44.0)","0.0
(0.0, 0.0)","1.9
(0.9, 2.8)","4.7
(2.4, 7.1)","7.5
(3.8, 11.3)","28.0
(5.9, 53.1)","29.7
(7.5, 54.7)","32.3
(9.8, 57.1)","35.0
(12.2, 59.5)","19
(-1, 49)","48
(-3, 122)","78
(-5, 195)","1,244
(-72, 3,128)","3,109
(-181, 7,820)","4,975
(-290, 12,513)","2.3
(-0.2, 4.6)","5.8
(-0.4, 11.5)","9.3
(-0.6, 18.5)","45.5
(34.3, 57.0)","43.5
(32.9, 55.4)","41.4
(30.5, 54.4)","24
(-1, 58)","59
(-3, 145)","95
(-5, 233)","1,524
(-87, 3,732)","3,809
(-217, 9,331)","6,095
(-346, 14,929)","2.9
(-0.2, 5.6)","7.2
(-0.4, 14.0)","11.5
(-0.6, 22.4)","45.2
(33.9, 56.7)","42.9
(32.1, 55.4)","40.5
(29.7, 54.2)","6
(-0, 15)","15
(-1, 38)","24
(-2, 61)","389
(-31, 976)","973
(-76, 2,440)","1,556
(-122, 3,904)","0.7
(-0.1, 1.4)","1.8
(-0.1, 3.6)","2.9
(-0.2, 5.7)","46.4
(34.9, 57.7)","45.8
(34.5, 57.0)","45.2
(34.0, 56.5)","7
(-0, 16)","17
(-1, 39)","26
(-2, 63)","424
(-28, 1,011)","1,061
(-70, 2,529)","1,697
(-111, 4,046)","0.8
(-0.1, 1.4)","2.0
(-0.1, 3.5)","3.2
(-0.2, 5.6)","46.4
(34.9, 57.7)","45.7
(34.6, 57.1)","45.0
(34.0, 56.6)"
13,Madagascar,"36.6
(26.2, 47.7)","1,441
(1,034, 1,881)","66.5
(11.4, 133.8)","1,689
(291, 3,397)","4.1
(1.8, 6.2)","4.5
(1.9, 6.9)","5.1
(2.2, 7.9)","5.8
(2.5, 8.9)","17.9
(16.6, 19.1)","19.7
(18.2, 21.0)","22.3
(20.7, 23.8)","25.0
(23.1, 26.6)","8.6
(4.4, 12.9)","13.1
(6.7, 19.8)","20.0
(10.2, 30.1)","26.8
(13.7, 40.4)","80
(-8, 197)","200
(-20, 492)","321
(-31, 788)","3,158
(-309, 7,759)","7,894
(-771, 19,397)","12,630
(-1,234, 31,035)","4.7
(-0.2, 8.0)","11.8
(-0.6, 20.0)","18.9
(-1.0, 32.0)","34.6
(24.6, 45.3)","31.7
(21.9, 42.7)","28.8
(19.3, 41.5)","3
(-0, 8)","8
(-1, 21)","12
(-1, 33)","120
(-13, 324)","299
(-33, 811)","479
(-52, 1,297)","0.2
(-0.0, 0.4)","0.4
(-0.0, 0.9)","0.7
(-0.1, 1.5)","36.5
(26.2, 47.6)","36.4
(26.1, 47.4)","36.3
(26.0, 47.2)","13
(-1, 32)","33
(-3, 81)","54
(-5, 129)","527
(-50, 1,272)","1,317
(-124, 3,180)","2,108
(-199, 5,088)","0.8
(-0.0, 1.3)","2.0
(-0.1, 3.3)","3.2
(-0.2, 5.3)","36.3
(25.9, 47.2)","35.8
(25.6, 46.5)","35.3
(25.1, 45.8)","33
(-3, 94)","83
(-8, 236)","132
(-13, 377)","1,304
(-127, 3,716)","3,259
(-318, 9,290)","5,215
(-509, 14,864)","2.0
(-0.1, 4.0)","4.9
(-0.3, 10.0)","7.8
(-0.5, 16.0)","35.8
(25.6, 46.7)","34.6
(24.5, 45.6)","33.3
(23.5, 44.2)"
14,Mozambique,"41.3
(30.5, 52.8)","2,109
(1,558, 2,694)","36.2
(13.3, 66.9)","710
(260, 1,310)","16.7
(12.8, 20.4)","18.2
(13.9, 22.1)","20.3
(15.5, 24.8)","22.5
(17.2, 27.4)","37.6
(37.2, 37.9)","40.3
(39.4, 41.3)","44.4
(42.6, 46.4)","48.5
(45.7, 51.5)","9.8
(6.7, 13.0)","11.2
(7.6, 14.7)","13.1
(8.9, 17.3)","15.1
(10.2, 19.9)","28
(-1, 70)","70
(-3, 176)","112
(-4, 281)","1,428
(-56, 3,588)","3,571
(-141, 8,970)","5,714
(-226, 14,352)","4.0
(-0.2, 7.6)","10.1
(-0.4, 19.0)","16.2
(-0.7, 30.4)","39.4
(29.3, 49.9)","36.6
(26.4, 47.7)","33.8
(23.3, 46.3)","5
(-0, 11)","11
(-1, 28)","18
(-1, 45)","231
(-11, 574)","576
(-27, 1,435)","922
(-44, 2,296)","0.7
(-0.0, 1.2)","1.6
(-0.1, 2.9)","2.6
(-0.2, 4.7)","41.0
(30.2, 52.1)","40.6
(29.9, 51.7)","40.1
(29.5, 50.9)","10
(-0, 25)","25
(-1, 62)","39
(-2, 99)","503
(-22, 1,259)","1,259
(-56, 3,147)","2,014
(-89, 5,035)","1.4
(-0.1, 2.6)","3.6
(-0.2, 6.4)","5.7
(-0.3, 10.3)","40.7
(29.9, 51.7)","39.7
(29.4, 50.1)","38.6
(28.7, 49.1)","4
(-0, 10)","10
(-0, 25)","16
(-1, 41)","203
(-9, 520)","507
(-23, 1,301)","812
(-37, 2,082)","0.6
(-0.0, 1.0)","1.4
(-0.1, 2.6)","2.3
(-0.1, 4.1)","41.1
(30.3, 52.2)","40.7
(30.0, 51.7)","40.3
(29.6, 51.0)"
15,Myanmar,"14.6
(9.0, 21.9)","735
(451, 1,101)","9.5
(4.1, 18.1)","189
(81, 361)",Not modeled,Not modeled,Not modeled,Not modeled,"1.1
(0.0, 2.8)","2.9
(0.4, 6.3)","5.8
(0.8, 11.4)","8.6
(1.3, 16.5)","0.0
(0.0, 0.0)","0.9
(0.4, 1.4)","2.2
(1.0, 3.5)","3.6
(1.6, 5.6)","12
(-1, 28)","29
(-2, 70)","46
(-2, 112)","581
(-31, 1,405)","1,452
(-77, 3,512)","2,323
(-123, 5,619)","6.1
(-0.4, 10.2)","15.2
(-0.9, 25.5)","24.4
(-1.5, 40.8)","13.6
(8.5, 20.3)","12.1
(7.5, 18.9)","10.6
(6.2, 17.8)",Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,"1
(-0, 4)","4
(-0, 10)","6
(-0, 17)","72
(-5, 210)","181
(-12, 525)","290
(-19, 840)","0.8
(-0.0, 1.8)","1.9
(-0.1, 4.5)","3.1
(-0.2, 7.2)","14.5
(8.9, 21.7)","14.3
(8.8, 21.4)","14.1
(8.7, 21.2)","1
(-0, 2)","2
(-0, 5)","3
(-0, 7)","34
(-2, 93)","86
(-6, 233)","138
(-9, 373)","0.4
(-0.0, 0.7)","0.9
(-0.0, 1.8)","1.5
(-0.1, 2.9)","14.6
(9.0, 21.9)","14.5
(8.9, 21.7)","14.4
(8.9, 21.5)"
16,Nepal,"9.6
(6.3, 14.0)","288
(188, 418)","3.8
(1.5, 7.6)","128
(52, 252)",Not modeled,Not modeled,Not modeled,Not modeled,"0.0
(0.0, 0.0)","17.8
(16.5, 19.0)","44.4
(41.3, 47.4)","71.0
(66.1, 75.8)","5.2
(2.3, 8.1)","12.8
(5.7, 20.0)","24.1
(10.8, 37.8)","35.5
(15.9, 55.6)","10
(-1, 24)","24
(-1, 59)","38
(-2, 95)","287
(-16, 709)","717
(-39, 1,772)","1,147
(-62, 2,835)","7.5
(-0.4, 12.5)","18.7
(-1.0, 31.3)","29.9
(-1.6, 50.0)","8.8
(5.7, 12.9)","7.7
(4.8, 11.9)","6.5
(3.6, 11.1)",Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,"10
(-1, 24)","24
(-1, 60)","39
(-2, 95)","290
(-17, 713)","725
(-43, 1,783)","1,160
(-69, 2,853)","7.6
(-0.5, 12.1)","18.9
(-1.1, 30.3)","30.3
(-1.8, 48.5)","8.8
(5.7, 12.9)","7.6
(4.9, 11.9)","6.5
(3.6, 11.2)","4
(-0, 12)","11
(-0, 30)","17
(-1, 48)","128
(-6, 361)","319
(-15, 903)","511
(-23, 1,445)","3.3
(-0.1, 6.9)","8.3
(-0.3, 17.2)","13.3
(-0.5, 27.6)","9.3
(6.0, 13.4)","8.7
(5.6, 12.8)","8.2
(5.2, 12.4)"
17,Niger,"64.7
(54.8, 74.0)","3,138
(2,657, 3,593)","336.9
(47.3, 729.1)","6,942
(975, 15,024)","3.9
(1.7, 6.2)","4.0
(1.7, 6.2)","4.0
(1.7, 6.2)","4.0
(1.7, 6.3)","74.9
(69.6, 79.9)","76.0
(70.6, 81.1)","77.6
(72.1, 82.8)","79.2
(73.6, 84.5)","30.3
(15.8, 45.7)","31.3
(16.4, 47.1)","32.7
(17.1, 49.3)","34.2
(17.9, 51.5)","339
(-49, 942)","849
(-123, 2,356)","1,358
(-197, 3,770)","16,472
(-2,392, 45,734)","41,181
(-5,980, 114,335)","65,889
(-9,568, 182,936)","4.8
(-0.3, 8.2)","12.1
(-0.7, 20.6)","19.4
(-1.1, 32.9)","61.4
(51.4, 71.6)","56.4
(45.6, 69.2)","51.5
(39.3, 68.0)","1
(-0, 2)","1
(-0, 4)","2
(-0, 7)","28
(-3, 86)","70
(-8, 214)","112
(-13, 342)","0.0
(-0.0, 0.0)","0.0
(-0.0, 0.0)","0.0
(-0.0, 0.1)","64.7
(54.7, 74.0)","64.7
(54.7, 74.0)","64.6
(54.7, 74.0)","57
(-5, 172)","142
(-12, 431)","227
(-19, 690)","2,749
(-229, 8,371)","6,874
(-573, 20,927)","10,998
(-917, 33,483)","0.8
(-0.0, 1.7)","2.0
(-0.1, 4.2)","3.2
(-0.1, 6.8)","64.1
(54.3, 73.3)","63.3
(53.3, 72.6)","62.4
(52.4, 72.0)","36
(-4, 114)","90
(-9, 284)","144
(-15, 454)","1,748
(-183, 5,510)","4,369
(-457, 13,774)","6,991
(-731, 22,039)","0.5
(-0.0, 1.1)","1.3
(-0.1, 2.8)","2.0
(-0.1, 4.6)","64.3
(54.5, 73.6)","63.8
(54.1, 73.1)","63.3
(53.5, 72.5)"
18,Nigeria,"8.1
(5.2, 12.1)","2,701
(1,750, 4,067)","231.3
(51.6, 464.0)","690
(154, 1,384)","1.2
(0.6, 1.9)","2.7
(1.8, 3.6)","4.9
(3.7, 6.1)","7.0
(5.5, 8.6)","7.5
(5.7, 9.2)","12.3
(10.4, 14.3)","19.6
(17.3, 22.0)","27.0
(24.2, 29.8)","17.5
(15.1, 19.8)","26.5
(24.2, 28.8)","40.0
(37.7, 42.3)","53.6
(51.2, 55.9)","31
(-3, 83)","78
(-6, 207)","125
(-10, 332)","10,446
(-847, 27,787)","26,115
(-2,117, 69,468)","41,784
(-3,387, 111,148)","4.5
(-0.2, 8.5)","11.2
(-0.6, 21.4)","18.0
(-0.9, 34.2)","7.6
(5.0, 11.5)","7.0
(4.5, 10.8)","6.4
(3.9, 10.0)","4
(-0, 11)","10
(-1, 27)","16
(-1, 43)","1,358
(-111, 3,621)","3,394
(-278, 9,052)","5,431
(-445, 14,483)","0.6
(-0.0, 1.0)","1.5
(-0.1, 2.5)","2.3
(-0.1, 4.0)","8.0
(5.2, 12.1)","7.9
(5.1, 12.0)","7.8
(5.1, 11.8)","14
(-1, 36)","35
(-3, 91)","56
(-5, 146)","4,711
(-385, 12,222)","11,777
(-963, 30,556)","18,843
(-1,541, 48,889)","2.0
(-0.1, 3.3)","5.1
(-0.3, 8.3)","8.1
(-0.5, 13.3)","7.9
(5.1, 11.9)","7.6
(4.9, 11.4)","7.3
(4.7, 11.0)","28
(-2, 73)","69
(-5, 182)","110
(-8, 291)","9,223
(-705, 24,385)","23,058
(-1,762, 60,962)","36,893
(-2,819, 97,539)","4.0
(-0.2, 6.6)","9.9
(-0.6, 16.6)","15.9
(-0.9, 26.5)","7.7
(5.0, 11.6)","7.2
(4.6, 10.9)","6.6
(4.2, 10.3)"
19,Pakistan,"6.9
(4.5, 10.3)","2,106
(1,374, 3,155)","45.5
(17.2, 86.4)","149
(56, 283)",Not modeled,Not modeled,Not modeled,Not modeled,"29.0
(14.3, 42.9)","38.5
(19.4, 54.1)","52.7
(27.0, 70.8)","67.0
(34.7, 87.5)","0.0
(0.0, 0.0)","8.3
(3.3, 13.6)","20.9
(8.1, 33.9)","33.4
(13.0, 54.3)","3
(-0, 7)","7
(-0, 18)","11
(-0, 29)","850
(-23, 2,229)","2,125
(-57, 5,573)","3,400
(-91, 8,918)","1.9
(-0.1, 3.9)","4.7
(-0.2, 9.7)","7.5
(-0.3, 15.5)","6.8
(4.4, 10.1)","6.5
(4.2, 9.8)","6.3
(4.0, 9.6)",Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,"7
(-0, 19)","17
(-1, 47)","28
(-1, 75)","2,105
(-88, 5,754)","5,263
(-220, 14,385)","8,421
(-352, 23,016)","4.6
(-0.2, 9.2)","11.6
(-0.6, 23.0)","18.5
(-1.0, 36.9)","6.5
(4.2, 10.0)","6.0
(3.8, 9.3)","5.5
(3.2, 8.7)","5
(-0, 14)","13
(-1, 34)","20
(-1, 54)","1,557
(-85, 4,126)","3,892
(-213, 10,314)","6,227
(-341, 16,502)","3.4
(-0.3, 7.2)","8.5
(-0.7, 18.1)","13.6
(-1.1, 28.9)","6.6
(4.3, 10.0)","6.3
(4.0, 9.6)","5.9
(3.6, 9.1)"
20,South Africa,"10.8
(7.0, 16.2)","552
(355, 825)","7.9
(2.0, 16.2)","154
(39, 319)","58.1
(47.7, 68.6)","65.7
(56.8, 74.7)","77.2
(70.5, 83.9)","88.7
(84.1, 93.2)","30.2
(28.2, 32.3)","35.8
(33.5, 38.4)","44.3
(41.4, 47.4)","52.8
(49.4, 56.5)","5.7
(2.7, 8.4)","6.7
(3.3, 9.8)","8.2
(4.3, 11.9)","9.8
(5.3, 14.0)","9
(-0, 24)","23
(-1, 61)","36
(-2, 97)","461
(-22, 1,241)","1,153
(-55, 3,101)","1,844
(-89, 4,962)","5.8
(-0.5, 9.9)","14.4
(-1.3, 24.8)","23.1
(-2.0, 39.7)","10.0
(6.4, 15.3)","8.9
(5.5, 13.9)","7.7
(4.3, 13.0)","6
(-0, 16)","15
(-1, 41)","24
(-1, 65)","310
(-12, 834)","774
(-30, 2,085)","1,239
(-49, 3,336)","3.9
(-0.2, 7.8)","9.8
(-0.6, 19.4)","15.7
(-0.9, 31.0)","10.3
(6.6, 15.4)","9.4
(5.9, 14.5)","8.6
(5.1, 13.5)","4
(-0, 10)","9
(-0, 24)","15
(-1, 38)","190
(-8, 485)","476
(-21, 1,212)","761
(-33, 1,939)","2.4
(-0.2, 4.3)","6.0
(-0.4, 10.6)","9.6
(-0.7, 17.0)","10.5
(6.8, 15.8)","10.0
(6.4, 15.1)","9.5
(6.0, 14.5)","1
(-0, 2)","1
(-0, 4)","2
(-0, 6)","31
(-2, 80)","76
(-4, 200)","122
(-7, 320)","0.4
(-0.0, 0.7)","1.0
(-0.1, 1.8)","1.5
(-0.1, 2.9)","10.8
(6.9, 16.2)","10.7
(6.9, 16.2)","10.6
(6.9, 16.0)"
21,Sudan,"19.5
(13.0, 28.0)","1,076
(719, 1,544)","19.8
(6.7, 44.5)","358
(121, 808)","5.7
(2.4, 8.8)","11.0
(4.6, 16.9)","18.8
(7.9, 29.0)","26.7
(11.2, 41.1)","80.0
(74.5, 85.6)","80.0
(74.5, 85.6)","80.0
(74.5, 85.6)","80.0
(74.5, 85.6)","6.5
(3.3, 9.6)","16.7
(8.5, 24.7)","32.1
(16.2, 47.2)","47.4
(24.0, 69.8)","18
(-1, 47)","46
(-3, 118)","74
(-5, 189)","1,014
(-64, 2,606)","2,535
(-161, 6,515)","4,055
(-257, 10,423)","5.2
(-0.4, 8.8)","13.0
(-1.1, 21.9)","20.8
(-1.7, 35.0)","18.4
(12.2, 26.7)","16.6
(10.8, 24.5)","14.9
(9.1, 23.7)","8
(-0, 20)","19
(-1, 51)","31
(-1, 82)","428
(-21, 1,130)","1,071
(-52, 2,825)","1,713
(-83, 4,520)","2.2
(-0.1, 4.4)","5.5
(-0.3, 11.1)","8.8
(-0.5, 17.7)","19.0
(12.6, 27.3)","18.3
(12.0, 26.7)","17.6
(11.3, 26.3)","0
(0, 0)","0
(0, 0)","0
(0, 0)","0
(0, 0)","0
(0, 0)","0
(0, 0)","0.0
(0.0, 0.0)","0.0
(0.0, 0.0)","0.0
(0.0, 0.0)","19.5
(13.0, 28.0)","19.5
(13.0, 28.0)","19.5
(13.0, 28.0)","15
(-1, 44)","38
(-2, 110)","61
(-4, 177)","845
(-49, 2,437)","2,112
(-124, 6,092)","3,379
(-198, 9,747)","4.3
(-0.3, 8.7)","10.7
(-0.7, 21.7)","17.2
(-1.1, 34.8)","18.6
(12.4, 26.6)","17.1
(11.0, 24.9)","15.7
(9.4, 24.5)"
22,Uganda,"21.6
(15.8, 28.3)","1,530
(1,123, 2,009)","40.7
(8.2, 100.5)","575
(115, 1,417)","6.5
(3.4, 9.7)","13.7
(9.3, 18.1)","24.5
(18.2, 30.9)","35.2
(27.1, 43.6)","54.3
(48.6, 60.3)","61.3
(55.9, 66.9)","71.6
(66.8, 76.7)","82.0
(77.7, 86.6)","8.5
(5.5, 11.4)","8.9
(5.9, 11.8)","9.6
(6.5, 12.5)","10.2
(7.1, 13.2)","19
(-1, 59)","48
(-3, 148)","77
(-4, 236)","1,368
(-71, 4,189)","3,420
(-178, 10,472)","5,472
(-284, 16,755)","3.4
(-0.1, 6.6)","8.4
(-0.3, 16.5)","13.4
(-0.5, 26.3)","20.8
(15.4, 27.6)","19.7
(14.2, 26.1)","18.5
(12.9, 25.2)","19
(-1, 57)","48
(-4, 141)","78
(-6, 226)","1,375
(-101, 4,009)","3,436
(-252, 10,022)","5,498
(-404, 16,035)","3.3
(-0.2, 5.7)","8.4
(-0.5, 14.3)","13.4
(-0.8, 22.9)","20.8
(15.3, 27.4)","19.7
(14.3, 26.3)","18.5
(13.3, 25.0)","26
(-1, 78)","66
(-3, 194)","105
(-5, 310)","1,859
(-92, 5,498)","4,648
(-230, 13,745)","7,437
(-368, 21,992)","4.5
(-0.2, 8.5)","11.3
(-0.5, 21.3)","18.1
(-0.7, 34.1)","20.5
(15.1, 27.2)","19.0
(13.7, 25.5)","17.4
(11.8, 24.3)","1
(-0, 3)","3
(-0, 9)","5
(-0, 14)","81
(-5, 245)","203
(-13, 612)","325
(-21, 979)","0.2
(-0.0, 0.3)","0.5
(-0.0, 0.8)","0.8
(-0.0, 1.3)","21.5
(15.8, 28.3)","21.5
(15.8, 28.2)","21.4
(15.8, 28.1)"
23,United Republic of Tanzania,"21.6
(15.7, 28.6)","2,006
(1,465, 2,658)","37.8
(11.8, 82.2)","406
(127, 883)","2.5
(1.3, 3.7)","9.3
(6.8, 11.7)","19.6
(15.2, 23.8)","29.8
(23.5, 35.9)","53.7
(46.7, 60.8)","61.5
(55.2, 67.9)","73.2
(67.9, 78.5)","84.9
(80.6, 89.2)","32.9
(27.0, 38.7)","36.4
(30.1, 42.5)","41.6
(34.8, 48.2)","46.8
(39.5, 53.9)","7
(-0, 20)","18
(-1, 51)","28
(-1, 82)","663
(-31, 1,907)","1,658
(-77, 4,766)","2,652
(-123, 7,626)","1.8
(-0.1, 3.5)","4.4
(-0.2, 8.8)","7.0
(-0.3, 14.1)","21.2
(15.4, 28.1)","20.5
(15.0, 27.4)","19.9
(14.4, 26.6)","12
(-1, 34)","31
(-2, 85)","49
(-4, 136)","1,148
(-85, 3,153)","2,871
(-213, 7,883)","4,593
(-341, 12,613)","3.0
(-0.2, 5.2)","7.6
(-0.4, 12.9)","12.1
(-0.7, 20.7)","20.9
(15.3, 27.7)","19.8
(14.5, 26.5)","18.8
(13.5, 25.6)","20
(-1, 58)","50
(-3, 144)","80
(-4, 230)","1,870
(-100, 5,352)","4,674
(-249, 13,379)","7,478
(-399, 21,407)","4.9
(-0.2, 9.3)","12.3
(-0.5, 23.1)","19.7
(-0.8, 37.0)","20.4
(14.9, 27.0)","18.7
(13.3, 25.8)","17.0
(11.3, 24.7)","8
(-0, 21)","19
(-1, 53)","31
(-2, 85)","710
(-42, 1,988)","1,776
(-104, 4,969)","2,842
(-167, 7,950)","1.9
(-0.1, 3.4)","4.7
(-0.2, 8.4)","7.5
(-0.4, 13.4)","21.1
(15.4, 28.1)","20.5
(15.0, 27.2)","19.8
(14.4, 26.4)"
