coverage_level,year,measure,location_id,location,age_group,nutrient,cause,mean,lower,upper
0.8,2025,pif,179,Ethiopia,u5,iron,anemia,3.671648092080995,0.041564155802079304,9.099811553630055
0.8,2025,pif,179,Ethiopia,u5,iron,low_birthweight,0.10852883627463827,0.0401757314795203,0.3146027369545542
0.8,2025,pif,179,Ethiopia,u5,folic acid,neural_tube_defects,19.643150239087806,14.392610198123128,24.657745951437633
0.8,2025,pif,179,Ethiopia,wra,iron,anemia,7.156713143342376,0.07101621725646193,17.521088009139028
0.8,2025,pif,179,Ethiopia,wra,iron,maternal_disorders,4.214877657576391,0.03619013960492291,9.326217486399896
0.8,2025,pif,163,India,u5,iron,anemia,2.803582784438348,0.03121100962185025,6.569159156069896
0.8,2025,pif,163,India,u5,iron,low_birthweight,0.1194964662114321,0.0430724657020447,0.233561559098944
0.8,2025,pif,163,India,u5,folic acid,neural_tube_defects,21.60403844868794,16.160130976577424,26.56549798083364
0.8,2025,pif,163,India,wra,iron,anemia,3.86028932194851,0.043066811669773705,8.965413579017632
0.8,2025,pif,163,India,wra,iron,maternal_disorders,3.947502024675866,0.04014836583580617,8.935087400166593
0.8,2025,pif,214,Nigeria,u5,iron,anemia,6.577747060151585,0.07234140526761143,15.635442649109704
0.8,2025,pif,214,Nigeria,u5,iron,low_birthweight,0.14710153813162832,0.0585670237528619,0.2472827422161778
0.8,2025,pif,214,Nigeria,u5,folic acid,neural_tube_defects,18.372479722404677,13.256966943448875,24.056250782476937
0.8,2025,pif,214,Nigeria,wra,iron,anemia,13.38572963056158,0.15662584988810901,31.796246502842692
0.8,2025,pif,214,Nigeria,wra,iron,maternal_disorders,9.327002260029122,0.11634108979768357,21.35428343828733
