coverage_level,year,measure,location_id,location,age_group,nutrient,cause,mean,lower,upper
0.8,2025,counts_averted,179,Ethiopia,u5,iron,anemia,10315.781259359985,104.83834817463791,23648.495248799823
0.8,2025,counts_averted,179,Ethiopia,u5,iron,low_birthweight,6622.302301765387,2021.3877298275197,18440.69871865416
0.8,2025,counts_averted,179,Ethiopia,u5,folic acid,neural_tube_defects,50471.080161424754,28089.104226117586,81081.12548156259
0.8,2025,counts_averted,179,Ethiopia,wra,iron,anemia,13572.831868506788,118.05072895270331,31234.645766386377
0.8,2025,counts_averted,179,Ethiopia,wra,iron,maternal_disorders,765.3185700488269,5.2218213631931665,2152.7786929428057
0.8,2025,counts_averted,163,India,u5,iron,anemia,50580.04369670036,523.5815374851998,113768.38299685322
0.8,2025,counts_averted,163,India,u5,iron,low_birthweight,47576.28032733136,16406.60623642146,97190.39814779651
0.8,2025,counts_averted,163,India,u5,folic acid,neural_tube_defects,151654.38134417954,76041.79312265177,274038.4360512562
0.8,2025,counts_averted,163,India,wra,iron,anemia,252133.19743665063,2644.3363601131177,561844.6077372193
0.8,2025,counts_averted,163,India,wra,iron,maternal_disorders,9440.221952102029,62.37727920589398,24523.91307536517
0.8,2025,counts_averted,214,Nigeria,u5,iron,anemia,44557.68353364746,535.18870124045,102242.79605524513
0.8,2025,counts_averted,214,Nigeria,u5,iron,low_birthweight,26232.641277010316,10237.225097318702,45584.00566436871
0.8,2025,counts_averted,214,Nigeria,u5,folic acid,neural_tube_defects,264739.86825568374,127066.62651320461,508731.8856960071
0.8,2025,counts_averted,214,Nigeria,wra,iron,anemia,95130.52619705099,1170.356946341004,215747.1817912727
0.8,2025,counts_averted,214,Nigeria,wra,iron,maternal_disorders,7472.655988334667,47.89038222643731,21852.976052240556
0.8,2025,rates_averted,179,Ethiopia,u5,iron,anemia,61.84643533521514,0.6285397061080945,141.78035530299547
0.8,2025,rates_averted,179,Ethiopia,u5,iron,low_birthweight,40.01056295998564,11.630765329043289,113.62500228368144
0.8,2025,rates_averted,179,Ethiopia,u5,folic acid,neural_tube_defects,302.5904017371223,168.4032381520738,486.10749471369087
0.8,2025,rates_averted,179,Ethiopia,wra,iron,anemia,39.306423215110165,0.34187058073222126,90.45438839600831
0.8,2025,rates_averted,179,Ethiopia,wra,iron,maternal_disorders,2.2163345055884482,0.015122203121930723,6.234368126936126
0.8,2025,rates_averted,163,India,u5,iron,anemia,43.20467649948271,0.4472351009381502,97.17916047527947
0.8,2025,rates_averted,163,India,u5,iron,low_birthweight,40.76894922381756,13.581775792998885,79.76270663544562
0.8,2025,rates_averted,163,India,u5,folic acid,neural_tube_defects,129.54078341636347,64.95370174065472,234.07931493722847
0.8,2025,rates_averted,163,India,wra,iron,anemia,54.402090956329964,0.5705612297172769,121.22767554686419
0.8,2025,rates_averted,163,India,wra,iron,maternal_disorders,2.036890891431436,0.013458975063448562,5.291457702892759
0.8,2025,rates_averted,214,Nigeria,u5,iron,anemia,132.92215541096357,1.5965469943417299,305.0053716693797
0.8,2025,rates_averted,214,Nigeria,u5,iron,low_birthweight,78.87252977778984,30.3273670862392,139.6661747078083
0.8,2025,rates_averted,214,Nigeria,u5,folic acid,neural_tube_defects,789.7581543974712,379.05852677867983,1517.6224033714204
0.8,2025,rates_averted,214,Nigeria,wra,iron,anemia,132.73802910325716,1.6330286461658108,301.0374991118617
0.8,2025,rates_averted,214,Nigeria,wra,iron,maternal_disorders,10.426785887881955,0.06682266149323587,30.492010158827547
