,Location name,Baseline Prevalence of anemia (per 100) among WRA,Baseline Prevalence of iron deficiency anemia (per 100) among WRA,Baseline Number with iron deficiency anemia (1000s) among WRA,Baseline DALYs attributable to iron deficiency (1000s) among WRA,"Baseline DALYs attributable to iron deficiency per person-year (x 100,000) among WRA",Baseline Prevalence of anemia (per 100) among Children U5,Baseline Prevalence of iron deficiency anemia (per 100) among Children U5,Baseline Number with iron deficiency anemia (1000s) among Children U5,Baseline DALYs attributable to iron deficiency (1000s) among Children U5,"Baseline DALYs attributable to iron deficiency per person-year (x 100,000) among Children U5",Percent of population eating iron fortified maize flour at baseline,Percent of population eating iron fortified maize flour: 20% scale-up,Percent of population eating iron fortified maize flour: 50% scale-up,Percent of population eating iron fortified maize flour: 80% scale-up,Percent of population eating iron fortified wheat flour at baseline,Percent of population eating iron fortified wheat flour: 20% scale-up,Percent of population eating iron fortified wheat flour: 50% scale-up,Percent of population eating iron fortified wheat flour: 80% scale-up,"Iron in maize flour DALYs averted per 100,000 person-years: 20% scale-up","Iron in maize flour DALYs averted per 100,000 person-years: 50% scale-up","Iron in maize flour DALYs averted per 100,000 person-years: 80% scale-up",Iron in maize flour DALYs averted: 20% scale-up,Iron in maize flour DALYs averted: 50% scale-up,Iron in maize flour DALYs averted: 80% scale-up,Iron in maize flour PIF (percent): 20% scale-up,Iron in maize flour PIF (percent): 50% scale-up,Iron in maize flour PIF (percent): 80% scale-up,"Iron in wheat flour DALYs averted per 100,000 person-years: 20% scale-up","Iron in wheat flour DALYs averted per 100,000 person-years: 50% scale-up","Iron in wheat flour DALYs averted per 100,000 person-years: 80% scale-up",Iron in wheat flour DALYs averted: 20% scale-up,Iron in wheat flour DALYs averted: 50% scale-up,Iron in wheat flour DALYs averted: 80% scale-up,Iron in wheat flour PIF (percent): 20% scale-up,Iron in wheat flour PIF (percent): 50% scale-up,Iron in wheat flour PIF (percent): 80% scale-up
10,India,"48.5
(47.8, 49.3)","38.6
(37.6, 39.5)","224,640
(221,308, 228,543)","7,224
(4,973, 9,916)","1,559
(1,073, 2,139)","56.4
(55.1, 57.7)","49.6
(48.1, 50.9)","66,071
(64,546, 67,502)","1,888
(1,264, 2,749)","1,613
(1,080, 2,348)",Not modeled,Not modeled,Not modeled,Not modeled,"6.3
(4.7, 7.8)","6.4
(4.9, 8.0)","6.7
(5.0, 8.3)","6.9
(5.2, 8.6)",Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,"1
(0, 2)","2
(0, 4)","3
(0, 6)","5,576
(1,350, 10,913)","11,111
(2,046, 21,338)","16,660
(2,729, 33,080)","0.0
(0.0, 0.1)","0.1
(0.0, 0.2)","0.2
(0.0, 0.4)"
11,Indonesia,"25.3
(22.1, 28.8)","20.6
(17.7, 23.9)","22,523
(19,719, 25,674)","601
(412, 847)","674
(462, 949)","19.1
(14.6, 24.9)","16.7
(12.6, 21.8)","3,768
(2,879, 4,902)","67
(39, 112)","339
(196, 568)",Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,"nan
(nan, nan)","nan
(nan, nan)","nan
(nan, nan)","nan
(nan, nan)","nan
(nan, nan)","nan
(nan, nan)",Not modeled,Not modeled,Not modeled
12,Kenya,"23.3
(22.6, 23.9)","14.9
(14.1, 15.7)","3,956
(3,842, 4,070)","142
(97, 194)","836
(570, 1,140)","40.9
(39.4, 42.5)","33.0
(30.9, 35.0)","2,622
(2,526, 2,725)","52
(33, 76)","806
(520, 1,190)","5.4
(2.7, 8.0)","11.7
(5.8, 17.4)","21.2
(10.6, 31.5)","30.7
(15.3, 45.6)","28.1
(4.0, 54.1)","29.9
(5.4, 55.8)","32.6
(7.6, 58.4)","35.2
(9.7, 61.0)","17
(4, 33)","36
(6, 73)","55
(8, 111)","3,978
(918, 7,625)","8,476
(1,423, 17,014)","12,842
(1,829, 25,875)","1.9
(0.0, 4.8)","4.7
(0.0, 11.7)","7.5
(0.1, 18.3)","8
(2, 19)","15
(3, 30)","21
(4, 41)","1,949
(423, 4,476)","3,449
(662, 7,008)","4,944
(936, 9,460)","0.6
(0.0, 1.2)","1.4
(0.0, 3.0)","2.2
(0.0, 4.8)"
13,Madagascar,"30.9
(26.4, 35.3)","21.3
(17.7, 25.0)","2,687
(2,296, 3,073)","87
(57, 124)","1,004
(654, 1,421)","46.6
(40.5, 52.5)","41.0
(35.5, 46.8)","1,834
(1,596, 2,068)","43
(26, 65)","1,084
(670, 1,639)","4.1
(1.8, 6.2)","4.5
(1.9, 6.9)","5.1
(2.2, 7.9)","5.8
(2.5, 8.9)","8.7
(4.3, 12.9)","13.3
(6.6, 19.7)","20.2
(10.1, 30.0)","27.2
(13.6, 40.2)","1
(0, 3)","3
(0, 7)","5
(0, 11)","168
(19, 353)","389
(27, 851)","609
(33, 1,347)","0.1
(0.0, 0.3)","0.3
(0.0, 0.8)","0.6
(0.0, 1.4)","15
(3, 31)","34
(4, 73)","52
(5, 113)","1,884
(304, 3,939)","4,245
(413, 9,182)","6,568
(535, 14,205)","1.5
(0.0, 3.6)","3.7
(0.0, 8.9)","5.9
(0.1, 13.9)"
14,Mozambique,"36.0
(32.2, 39.7)","19.2
(16.3, 21.9)","3,401
(3,046, 3,753)","96
(62, 136)","1,017
(659, 1,441)","67.7
(62.4, 72.7)","56.8
(51.3, 61.8)","3,455
(3,184, 3,710)","100
(64, 147)","1,956
(1,253, 2,871)","16.7
(12.8, 20.4)","18.2
(13.9, 22.1)","20.3
(15.5, 24.8)","22.5
(17.2, 27.4)","12.6
(8.9, 16.4)","13.4
(9.4, 17.4)","14.5
(10.2, 18.8)","15.6
(11.0, 20.2)","8
(2, 15)","16
(3, 30)","24
(4, 45)","1,215
(354, 2,237)","2,350
(475, 4,368)","3,488
(580, 6,552)","0.4
(0.0, 0.9)","1.0
(0.0, 2.4)","1.7
(0.0, 3.8)","3
(1, 6)","7
(1, 14)","11
(1, 22)","472
(84, 925)","1,023
(123, 2,025)","1,571
(154, 3,141)","0.2
(0.0, 0.5)","0.5
(0.0, 1.3)","0.9
(0.0, 2.0)"
15,Myanmar,"36.5
(33.6, 39.8)","29.5
(26.7, 32.6)","6,921
(6,389, 7,547)","203
(137, 281)","1,066
(721, 1,478)","63.0
(55.9, 70.3)","57.6
(50.6, 64.6)","3,162
(2,804, 3,528)","84
(53, 130)","1,682
(1,058, 2,596)",Not modeled,Not modeled,Not modeled,Not modeled,"1.0
(0.0, 2.7)","1.7
(0.4, 3.6)","2.7
(1.0, 4.8)","3.8
(1.5, 6.1)",Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,"2
(0, 5)","5
(0, 11)","9
(0, 18)","551
(49, 1,110)","1,314
(66, 2,723)","2,075
(82, 4,333)","0.2
(0.0, 0.4)","0.5
(0.0, 1.1)","0.8
(0.0, 1.7)"
16,Nepal,"35.1
(31.0, 39.4)","31.9
(28.0, 36.2)","3,862
(3,403, 4,348)","124
(82, 174)","1,122
(744, 1,579)","53.7
(45.0, 63.0)","50.9
(42.6, 60.0)","1,609
(1,347, 1,887)","39
(24, 61)","1,305
(798, 2,022)",Not modeled,Not modeled,Not modeled,Not modeled,"7.4
(3.2, 11.5)","14.6
(6.3, 22.6)","25.3
(11.0, 39.4)","36.1
(15.7, 56.1)",Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,"21
(1, 48)","51
(1, 117)","80
(1, 183)","2,936
(75, 6,789)","7,151
(117, 16,437)","11,247
(159, 25,596)","2.0
(0.0, 5.0)","5.0
(0.0, 12.3)","7.8
(0.0, 19.3)"
17,Niger,"41.4
(36.4, 46.3)","23.9
(19.3, 28.1)","2,788
(2,451, 3,121)","107
(67, 156)","1,594
(987, 2,317)","71.2
(64.4, 77.8)","57.5
(50.4, 64.0)","3,456
(3,126, 3,778)","93
(59, 138)","1,915
(1,208, 2,854)","3.9
(1.7, 6.2)","4.0
(1.7, 6.2)","4.0
(1.7, 6.2)","4.0
(1.7, 6.3)","29.8
(15.0, 44.8)","30.8
(15.5, 46.3)","32.2
(16.2, 48.4)","33.6
(16.9, 50.6)","0
(0, 0)","0
(0, 1)","0
(0, 1)","15
(3, 34)","29
(6, 62)","43
(7, 92)","0.0
(0.0, 0.0)","0.0
(0.0, 0.0)","0.0
(0.0, 0.1)","5
(1, 10)","10
(1, 23)","16
(1, 35)","544
(94, 1,136)","1,205
(127, 2,630)","1,863
(168, 4,078)","0.3
(0.0, 0.7)","0.7
(0.0, 1.8)","1.1
(0.0, 2.8)"
18,Nigeria,"43.0
(39.1, 46.9)","26.9
(23.6, 30.4)","30,794
(28,014, 33,637)","935
(612, 1,310)","1,304
(854, 1,828)","72.3
(68.4, 76.5)","58.0
(54.0, 61.9)","24,242
(22,925, 25,641)","709
(455, 1,028)","2,114
(1,356, 3,067)","1.8
(0.8, 2.9)","3.2
(2.0, 4.4)","5.2
(3.8, 6.6)","7.2
(5.6, 8.8)","17.4
(14.9, 19.8)","26.4
(23.9, 28.8)","39.9
(37.5, 42.4)","53.5
(51.0, 55.9)","10
(4, 17)","19
(5, 33)","27
(6, 50)","10,365
(3,933, 17,280)","19,440
(5,601, 34,011)","28,466
(6,679, 52,078)","0.4
(0.0, 0.8)","1.0
(0.0, 2.1)","1.5
(0.0, 3.4)","51
(15, 87)","105
(20, 190)","158
(24, 290)","53,174
(16,118, 90,414)","110,098
(22,575, 199,559)","165,697
(26,661, 304,939)","2.6
(0.0, 5.7)","6.3
(0.1, 13.9)","10.0
(0.1, 21.8)"
19,Pakistan,"43.1
(39.3, 47.1)","36.2
(32.5, 40.1)","31,027
(28,279, 33,935)","1,218
(814, 1,688)","1,691
(1,130, 2,344)","50.6
(41.9, 59.2)","45.2
(37.2, 53.1)","15,446
(12,801, 18,071)","448
(267, 700)","1,469
(875, 2,294)",Not modeled,Not modeled,Not modeled,Not modeled,"3.9
(1.4, 6.2)","11.5
(4.3, 18.4)","22.9
(8.5, 36.8)","34.3
(12.8, 55.1)",Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,"50
(14, 95)","93
(23, 183)","135
(29, 273)","50,789
(14,410, 97,768)","95,195
(23,759, 187,168)","138,333
(29,913, 279,502)","1.8
(0.0, 4.5)","4.4
(0.0, 11.1)","7.0
(0.1, 17.5)"
20,South Africa,"27.3
(25.1, 29.7)","18.2
(16.4, 20.2)","5,158
(4,733, 5,615)","143
(100, 197)","759
(528, 1,041)","16.3
(12.1, 20.7)","15.5
(11.5, 19.7)","833
(618, 1,053)","16
(9, 27)","321
(174, 539)","58.1
(47.7, 68.6)","65.7
(56.8, 74.7)","77.2
(70.5, 83.9)","88.7
(84.1, 93.2)","5.7
(2.9, 8.7)","6.8
(3.5, 10.1)","8.4
(4.6, 12.2)","9.9
(5.6, 14.4)","23
(8, 40)","44
(9, 80)","63
(10, 119)","5,583
(1,972, 9,671)","10,460
(2,133, 19,098)","15,202
(2,283, 28,459)","2.4
(0.0, 5.3)","6.0
(0.1, 13.0)","9.4
(0.1, 20.4)","3
(1, 5)","6
(1, 11)","9
(1, 18)","658
(133, 1,246)","1,395
(196, 2,729)","2,128
(258, 4,225)","0.3
(0.0, 0.8)","0.8
(0.0, 1.9)","1.3
(0.0, 3.0)"
21,Sudan,"30.1
(25.7, 34.8)","18.6
(15.2, 22.4)","4,081
(3,470, 4,724)","109
(71, 154)","802
(526, 1,136)","50.3
(44.4, 56.4)","42.3
(36.6, 48.1)","2,773
(2,450, 3,107)","69
(43, 104)","1,257
(778, 1,891)","5.7
(2.4, 8.8)","11.0
(4.6, 16.9)","18.8
(7.9, 29.0)","26.7
(11.2, 41.1)","6.6
(3.0, 10.0)","16.9
(7.7, 25.6)","32.4
(14.9, 49.0)","47.8
(22.0, 72.5)","14
(0, 31)","34
(1, 76)","53
(1, 120)","2,634
(60, 5,971)","6,460
(117, 14,605)","10,211
(173, 22,945)","1.7
(0.0, 4.2)","4.3
(0.0, 10.4)","6.8
(0.1, 16.4)","46
(14, 83)","88
(21, 170)","127
(22, 253)","8,665
(2,534, 15,861)","16,743
(3,747, 32,401)","24,228
(4,207, 47,962)","3.4
(0.0, 8.0)","8.3
(0.1, 19.5)","13.1
(0.1, 30.3)"
22,Uganda,"26.3
(22.6, 30.4)","12.3
(9.7, 15.1)","3,434
(2,940, 3,970)","83
(52, 123)","638
(396, 938)","50.5
(44.2, 56.6)","37.3
(31.2, 43.0)","3,579
(3,134, 4,010)","77
(48, 116)","1,088
(676, 1,640)","6.5
(3.4, 9.7)","13.7
(9.3, 18.1)","24.5
(18.2, 30.9)","35.2
(27.1, 43.6)","8.5
(5.7, 11.3)","8.9
(6.1, 11.7)","9.6
(6.7, 12.4)","10.2
(7.3, 13.1)","26
(8, 45)","54
(10, 99)","82
(13, 150)","5,280
(1,571, 9,161)","10,928
(2,079, 19,773)","16,463
(2,675, 30,161)","2.7
(0.0, 6.2)","6.8
(0.1, 15.4)","10.7
(0.1, 24.4)","1
(0, 3)","3
(0, 6)","5
(0, 9)","274
(52, 516)","601
(73, 1,138)","929
(93, 1,763)","0.2
(0.0, 0.4)","0.4
(0.0, 0.9)","0.6
(0.0, 1.4)"
23,United Republic of Tanzania,"38.2
(33.4, 42.8)","24.2
(20.5, 27.9)","7,048
(6,168, 7,891)","235
(151, 325)","1,274
(819, 1,762)","58.3
(51.5, 65.1)","51.5
(45.1, 58.0)","5,424
(4,795, 6,058)","143
(89, 207)","1,540
(954, 2,223)","2.5
(1.3, 3.7)","9.3
(6.8, 11.7)","19.6
(15.2, 23.8)","29.8
(23.5, 35.9)","33.3
(27.7, 38.7)","36.7
(30.9, 42.5)","42.0
(35.6, 48.2)","47.2
(40.4, 53.9)","33
(10, 58)","69
(15, 126)","104
(18, 193)","9,276
(2,824, 16,137)","19,095
(3,974, 35,283)","28,797
(5,289, 53,894)","2.0
(0.0, 4.5)","5.0
(0.1, 11.0)","7.9
(0.1, 17.3)","14
(3, 26)","32
(4, 60)","49
(5, 94)","3,980
(856, 7,113)","8,871
(1,073, 16,725)","13,714
(1,316, 26,077)","1.0
(0.0, 2.3)","2.6
(0.0, 5.7)","4.1
(0.0, 9.0)"
24,Viet Nam,"14.1
(11.3, 17.4)","10.6
(8.2, 13.4)","4,610
(3,663, 5,665)","100
(66, 147)","306
(202, 451)","21.8
(15.9, 29.1)","19.0
(13.7, 25.8)","1,509
(1,103, 2,018)","29
(16, 51)","421
(227, 734)",Not modeled,Not modeled,Not modeled,Not modeled,"4.1
(1.7, 6.3)","7.6
(3.3, 11.8)","13.0
(5.5, 20.1)","18.3
(7.8, 28.3)",Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,"4
(0, 9)","10
(0, 22)","15
(0, 35)","1,578
(59, 3,615)","3,840
(101, 8,775)","6,050
(142, 13,724)","1.2
(0.0, 3.1)","3.1
(0.0, 7.5)","4.9
(0.0, 11.8)"
