location_name,vehicle,nutrient,standard,percent of population eating vehicle,percent of population eating industrially produced vehicle,percent of population eating fortified vehicle,location_id,sodium,whole_grains,sdi,hh_salt,fao_maize_and_products,fao_rice_and_products,fao_wheat_and_products,fao_oil_all,parent_id
Angola,wheat flour,vitamin a,,,,,168,0.9811170685907364,8.870610394823604,0.464635259044516,0.805634410354085,415.0,80.0,256.0,282.0,167
Bangladesh,wheat flour,iron,Voluntary,62.35,49.25650000000001,0.155875,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,wheat flour,zinc,Voluntary,62.35,49.25650000000001,0.155875,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,wheat flour,folic acid,Voluntary,62.35,49.25650000000001,0.155875,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,wheat flour,vitamin b12,Voluntary,62.35,49.25650000000001,0.155875,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,wheat flour,vitamin b1,Voluntary,62.35,49.25650000000001,0.155875,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,wheat flour,vitamin a,Voluntary,62.35,49.25650000000001,0.155875,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,vitamin a,Mandatory,80.78,87.95,42.849571999999995,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,vitamin d,Unknown,80.78,87.95,0.0,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Burkina Faso,wheat flour,iron,Mandatory,52.3,52.3,32.426,201,0.9556201515423524,7.814609181250644,0.26382747713043697,0.807369721876692,629.0,221.0,109.0,190.0,199
Burkina Faso,wheat flour,folic acid,Mandatory,52.3,52.3,32.426,201,0.9556201515423524,7.814609181250644,0.26382747713043697,0.807369721876692,629.0,221.0,109.0,190.0,199
Burkina Faso,wheat flour,zinc,Mandatory,52.3,52.3,,201,0.9556201515423524,7.814609181250644,0.26382747713043697,0.807369721876692,629.0,221.0,109.0,190.0,199
Burkina Faso,wheat flour,vitamin b12,Mandatory,52.3,52.3,,201,0.9556201515423524,7.814609181250644,0.26382747713043697,0.807369721876692,629.0,221.0,109.0,190.0,199
Burkina Faso,wheat flour,vitamin b1,Unknown,52.3,52.3,0.0,201,0.9556201515423524,7.814609181250644,0.26382747713043697,0.807369721876692,629.0,221.0,109.0,190.0,199
Burkina Faso,oil,vitamin a,Mandatory,48.90600000000001,,72.5,201,0.9556201515423524,7.814609181250644,0.26382747713043697,0.807369721876692,629.0,221.0,109.0,190.0,199
Burkina Faso,oil,vitamin d,Unknown,48.90600000000001,,0.0,201,0.9556201515423524,7.814609181250644,0.26382747713043697,0.807369721876692,629.0,221.0,109.0,190.0,199
Burkina Faso,maize flour,iron,Unknown,31.15,0.0,0.0,201,0.9556201515423524,7.814609181250644,0.26382747713043697,0.807369721876692,629.0,221.0,109.0,190.0,199
Burkina Faso,maize flour,zinc,Unknown,31.15,0.0,0.0,201,0.9556201515423524,7.814609181250644,0.26382747713043697,0.807369721876692,629.0,221.0,109.0,190.0,199
Burkina Faso,maize flour,folic acid,Unknown,31.15,0.0,0.0,201,0.9556201515423524,7.814609181250644,0.26382747713043697,0.807369721876692,629.0,221.0,109.0,190.0,199
Burkina Faso,maize flour,vitamin b12,Unknown,31.15,0.0,0.0,201,0.9556201515423524,7.814609181250644,0.26382747713043697,0.807369721876692,629.0,221.0,109.0,190.0,199
Burkina Faso,maize flour,vitamin b1,Unknown,31.15,0.0,0.0,201,0.9556201515423524,7.814609181250644,0.26382747713043697,0.807369721876692,629.0,221.0,109.0,190.0,199
Burkina Faso,bouillon,iron,Unknown,80.83333333333333,,0.0,201,0.9556201515423524,7.814609181250644,0.26382747713043697,0.807369721876692,629.0,221.0,109.0,190.0,199
Burkina Faso,bouillon,zinc,Unknown,80.83333333333333,,0.0,201,0.9556201515423524,7.814609181250644,0.26382747713043697,0.807369721876692,629.0,221.0,109.0,190.0,199
Burkina Faso,bouillon,folic acid,Unknown,80.83333333333333,,0.0,201,0.9556201515423524,7.814609181250644,0.26382747713043697,0.807369721876692,629.0,221.0,109.0,190.0,199
Burkina Faso,bouillon,vitamin a,Unknown,80.83333333333333,,0.0,201,0.9556201515423524,7.814609181250644,0.26382747713043697,0.807369721876692,629.0,221.0,109.0,190.0,199
Burkina Faso,maize flour,vitamin a,,31.15,0.0,0.0,201,0.9556201515423524,7.814609181250644,0.26382747713043697,0.807369721876692,629.0,221.0,109.0,190.0,199
Burkina Faso,wheat flour,vitamin a,,52.3,52.3,0.0,201,0.9556201515423524,7.814609181250644,0.26382747713043697,0.807369721876692,629.0,221.0,109.0,190.0,199
Cameroon,wheat flour,iron,Mandatory,94.46363636363638,75.57090909090911,78.21589090909094,202,1.0280313331081716,12.909478968640675,0.490462505035503,0.8777703518112031,381.0,277.0,192.0,228.0,199
Cameroon,wheat flour,zinc,Mandatory,94.46363636363638,75.57090909090911,78.21589090909094,202,1.0280313331081716,12.909478968640675,0.490462505035503,0.8777703518112031,381.0,277.0,192.0,228.0,199
Cameroon,wheat flour,folic acid,Mandatory,94.46363636363638,75.57090909090911,78.21589090909094,202,1.0280313331081716,12.909478968640675,0.490462505035503,0.8777703518112031,381.0,277.0,192.0,228.0,199
Cameroon,wheat flour,vitamin b12,Mandatory,94.46363636363638,75.57090909090911,78.21589090909094,202,1.0280313331081716,12.909478968640675,0.490462505035503,0.8777703518112031,381.0,277.0,192.0,228.0,199
Cameroon,wheat flour,vitamin b1,Unknown,94.46363636363638,75.57090909090911,0.0,202,1.0280313331081716,12.909478968640675,0.490462505035503,0.8777703518112031,381.0,277.0,192.0,228.0,199
Cameroon,oil,vitamin a,Mandatory,68.79,,30.49690000000001,202,1.0280313331081716,12.909478968640675,0.490462505035503,0.8777703518112031,381.0,277.0,192.0,228.0,199
Cameroon,oil,vitamin d,Unknown,68.79,,0.0,202,1.0280313331081716,12.909478968640675,0.490462505035503,0.8777703518112031,381.0,277.0,192.0,228.0,199
Cameroon,maize flour,iron,Unknown,,,,202,1.0280313331081716,12.909478968640675,0.490462505035503,0.8777703518112031,381.0,277.0,192.0,228.0,199
Cameroon,maize flour,zinc,Unknown,,,,202,1.0280313331081716,12.909478968640675,0.490462505035503,0.8777703518112031,381.0,277.0,192.0,228.0,199
Cameroon,maize flour,folic acid,Unknown,,,,202,1.0280313331081716,12.909478968640675,0.490462505035503,0.8777703518112031,381.0,277.0,192.0,228.0,199
Cameroon,maize flour,vitamin b12,Unknown,,,,202,1.0280313331081716,12.909478968640675,0.490462505035503,0.8777703518112031,381.0,277.0,192.0,228.0,199
Cameroon,maize flour,vitamin b1,Unknown,,,,202,1.0280313331081716,12.909478968640675,0.490462505035503,0.8777703518112031,381.0,277.0,192.0,228.0,199
Cameroon,bouillon,iron,Voluntary,95.25714285714285,,0.0,202,1.0280313331081716,12.909478968640675,0.490462505035503,0.8777703518112031,381.0,277.0,192.0,228.0,199
Cameroon,bouillon,zinc,Unknown,95.25714285714285,,0.0,202,1.0280313331081716,12.909478968640675,0.490462505035503,0.8777703518112031,381.0,277.0,192.0,228.0,199
Cameroon,bouillon,folic acid,Unknown,95.25714285714285,,0.0,202,1.0280313331081716,12.909478968640675,0.490462505035503,0.8777703518112031,381.0,277.0,192.0,228.0,199
Cameroon,bouillon,vitamin a,Unknown,95.25714285714285,,0.0,202,1.0280313331081716,12.909478968640675,0.490462505035503,0.8777703518112031,381.0,277.0,192.0,228.0,199
Cameroon,maize flour,vitamin a,,,,,202,1.0280313331081716,12.909478968640675,0.490462505035503,0.8777703518112031,381.0,277.0,192.0,228.0,199
Cameroon,wheat flour,vitamin a,,94.46363636363638,75.57090909090911,0.0,202,1.0280313331081716,12.909478968640675,0.490462505035503,0.8777703518112031,381.0,277.0,192.0,228.0,199
China,wheat flour,iron,Voluntary,,,,6,5.079122416428169,16.393548855143607,0.691998907170151,0.974691133328762,57.0,821.0,563.0,197.0,5
China,wheat flour,zinc,Voluntary,,,,6,5.079122416428169,16.393548855143607,0.691998907170151,0.974691133328762,57.0,821.0,563.0,197.0,5
China,wheat flour,folic acid,Voluntary,,,,6,5.079122416428169,16.393548855143607,0.691998907170151,0.974691133328762,57.0,821.0,563.0,197.0,5
China,wheat flour,vitamin a,Voluntary,,,,6,5.079122416428169,16.393548855143607,0.691998907170151,0.974691133328762,57.0,821.0,563.0,197.0,5
China,wheat flour,vitamin b1,Voluntary,,,,6,5.079122416428169,16.393548855143607,0.691998907170151,0.974691133328762,57.0,821.0,563.0,197.0,5
China,wheat flour,vitamin b12,Unknown,,,,6,5.079122416428169,16.393548855143607,0.691998907170151,0.974691133328762,57.0,821.0,563.0,197.0,5
China,oil,vitamin a,Voluntary,,,,6,5.079122416428169,16.393548855143607,0.691998907170151,0.974691133328762,57.0,821.0,563.0,197.0,5
China,oil,vitamin d,Unknown,,,,6,5.079122416428169,16.393548855143607,0.691998907170151,0.974691133328762,57.0,821.0,563.0,197.0,5
Côte d'Ivoire,wheat flour,iron,Mandatory,54.7,10.2,39.10698,205,1.1559406585938077,8.537658633355704,0.418604903590568,0.808724151820073,232.0,601.0,181.0,360.0,199
Côte d'Ivoire,wheat flour,folic acid,Mandatory,54.7,10.2,39.10698,205,1.1559406585938077,8.537658633355704,0.418604903590568,0.808724151820073,232.0,601.0,181.0,360.0,199
Côte d'Ivoire,wheat flour,zinc,Unknown,54.7,10.2,0.0,205,1.1559406585938077,8.537658633355704,0.418604903590568,0.808724151820073,232.0,601.0,181.0,360.0,199
Côte d'Ivoire,wheat flour,vitamin b12,Unknown,54.7,10.2,0.0,205,1.1559406585938077,8.537658633355704,0.418604903590568,0.808724151820073,232.0,601.0,181.0,360.0,199
Côte d'Ivoire,wheat flour,vitamin b1,Unknown,54.7,10.2,0.0,205,1.1559406585938077,8.537658633355704,0.418604903590568,0.808724151820073,232.0,601.0,181.0,360.0,199
Côte d'Ivoire,oil,vitamin a,Mandatory,98.5,98.0,81.0,205,1.1559406585938077,8.537658633355704,0.418604903590568,0.808724151820073,232.0,601.0,181.0,360.0,199
Côte d'Ivoire,oil,vitamin d,Unknown,98.5,98.0,0.0,205,1.1559406585938077,8.537658633355704,0.418604903590568,0.808724151820073,232.0,601.0,181.0,360.0,199
Côte d'Ivoire,maize flour,iron,Unknown,,,,205,1.1559406585938077,8.537658633355704,0.418604903590568,0.808724151820073,232.0,601.0,181.0,360.0,199
Côte d'Ivoire,maize flour,zinc,Unknown,,,,205,1.1559406585938077,8.537658633355704,0.418604903590568,0.808724151820073,232.0,601.0,181.0,360.0,199
Côte d'Ivoire,maize flour,folic acid,Unknown,,,,205,1.1559406585938077,8.537658633355704,0.418604903590568,0.808724151820073,232.0,601.0,181.0,360.0,199
Côte d'Ivoire,maize flour,vitamin b12,Unknown,,,,205,1.1559406585938077,8.537658633355704,0.418604903590568,0.808724151820073,232.0,601.0,181.0,360.0,199
Côte d'Ivoire,maize flour,vitamin b1,Unknown,,,,205,1.1559406585938077,8.537658633355704,0.418604903590568,0.808724151820073,232.0,601.0,181.0,360.0,199
Côte d'Ivoire,bouillon,iron,Voluntary,,,,205,1.1559406585938077,8.537658633355704,0.418604903590568,0.808724151820073,232.0,601.0,181.0,360.0,199
Côte d'Ivoire,bouillon,zinc,Unknown,,,,205,1.1559406585938077,8.537658633355704,0.418604903590568,0.808724151820073,232.0,601.0,181.0,360.0,199
Côte d'Ivoire,bouillon,folic acid,Unknown,,,,205,1.1559406585938077,8.537658633355704,0.418604903590568,0.808724151820073,232.0,601.0,181.0,360.0,199
Côte d'Ivoire,bouillon,vitamin a,Unknown,,,,205,1.1559406585938077,8.537658633355704,0.418604903590568,0.808724151820073,232.0,601.0,181.0,360.0,199
Côte d'Ivoire,maize flour,vitamin a,,,,,205,1.1559406585938077,8.537658633355704,0.418604903590568,0.808724151820073,232.0,601.0,181.0,360.0,199
Côte d'Ivoire,wheat flour,vitamin a,,54.7,10.2,0.0,205,1.1559406585938077,8.537658633355704,0.418604903590568,0.808724151820073,232.0,601.0,181.0,360.0,199
Democratic Republic of the Congo,wheat flour,iron,Voluntary,0.58,0.58,0.0,171,0.8169820691296205,11.139578137188135,0.379084549053825,0.8215885626084991,,,,,167
Democratic Republic of the Congo,wheat flour,folic acid,Voluntary,0.58,0.58,0.0,171,0.8169820691296205,11.139578137188135,0.379084549053825,0.8215885626084991,,,,,167
Democratic Republic of the Congo,wheat flour,zinc,Unknown,0.58,0.58,0.0,171,0.8169820691296205,11.139578137188135,0.379084549053825,0.8215885626084991,,,,,167
Democratic Republic of the Congo,wheat flour,vitamin b12,Unknown,0.58,0.58,0.0,171,0.8169820691296205,11.139578137188135,0.379084549053825,0.8215885626084991,,,,,167
Democratic Republic of the Congo,wheat flour,vitamin b1,Unknown,0.58,0.58,0.0,171,0.8169820691296205,11.139578137188135,0.379084549053825,0.8215885626084991,,,,,167
Democratic Republic of the Congo,oil,vitamin a,Unknown,95.882,,0.0,171,0.8169820691296205,11.139578137188135,0.379084549053825,0.8215885626084991,,,,,167
Democratic Republic of the Congo,oil,vitamin d,Unknown,95.882,,0.0,171,0.8169820691296205,11.139578137188135,0.379084549053825,0.8215885626084991,,,,,167
Democratic Republic of the Congo,maize flour,iron,Unknown,45.255,2.26275,0.0,171,0.8169820691296205,11.139578137188135,0.379084549053825,0.8215885626084991,,,,,167
Democratic Republic of the Congo,maize flour,zinc,Unknown,45.255,2.26275,0.0,171,0.8169820691296205,11.139578137188135,0.379084549053825,0.8215885626084991,,,,,167
Democratic Republic of the Congo,maize flour,folic acid,Unknown,45.255,2.26275,0.0,171,0.8169820691296205,11.139578137188135,0.379084549053825,0.8215885626084991,,,,,167
Democratic Republic of the Congo,maize flour,vitamin b12,Unknown,45.255,2.26275,0.0,171,0.8169820691296205,11.139578137188135,0.379084549053825,0.8215885626084991,,,,,167
Democratic Republic of the Congo,maize flour,vitamin b1,Unknown,45.255,2.26275,0.0,171,0.8169820691296205,11.139578137188135,0.379084549053825,0.8215885626084991,,,,,167
Democratic Republic of the Congo,bouillon,iron,Unknown,,,,171,0.8169820691296205,11.139578137188135,0.379084549053825,0.8215885626084991,,,,,167
Democratic Republic of the Congo,bouillon,zinc,Unknown,,,,171,0.8169820691296205,11.139578137188135,0.379084549053825,0.8215885626084991,,,,,167
Democratic Republic of the Congo,bouillon,folic acid,Unknown,,,,171,0.8169820691296205,11.139578137188135,0.379084549053825,0.8215885626084991,,,,,167
Democratic Republic of the Congo,bouillon,vitamin a,Unknown,,,,171,0.8169820691296205,11.139578137188135,0.379084549053825,0.8215885626084991,,,,,167
Democratic Republic of the Congo,maize flour,vitamin a,,45.255,2.26275,0.0,171,0.8169820691296205,11.139578137188135,0.379084549053825,0.8215885626084991,,,,,167
Democratic Republic of the Congo,wheat flour,vitamin a,,0.58,0.58,0.0,171,0.8169820691296205,11.139578137188135,0.379084549053825,0.8215885626084991,,,,,167
Egypt,wheat flour,iron,Unknown,,,,141,1.2267395438165623,11.949545556552186,0.630513414371499,0.8989292185619241,572.0,322.0,1158.0,152.0,138
Egypt,wheat flour,zinc,Unknown,,,,141,1.2267395438165623,11.949545556552186,0.630513414371499,0.8989292185619241,572.0,322.0,1158.0,152.0,138
Egypt,wheat flour,folic acid,Unknown,,,,141,1.2267395438165623,11.949545556552186,0.630513414371499,0.8989292185619241,572.0,322.0,1158.0,152.0,138
Egypt,wheat flour,vitamin b12,Unknown,,,,141,1.2267395438165623,11.949545556552186,0.630513414371499,0.8989292185619241,572.0,322.0,1158.0,152.0,138
Egypt,wheat flour,vitamin b1,Unknown,,,,141,1.2267395438165623,11.949545556552186,0.630513414371499,0.8989292185619241,572.0,322.0,1158.0,152.0,138
Egypt,oil,vitamin a,Unknown,,,,141,1.2267395438165623,11.949545556552186,0.630513414371499,0.8989292185619241,572.0,322.0,1158.0,152.0,138
Egypt,oil,vitamin d,Unknown,,,,141,1.2267395438165623,11.949545556552186,0.630513414371499,0.8989292185619241,572.0,322.0,1158.0,152.0,138
Egypt,maize flour,iron,Unknown,,,,141,1.2267395438165623,11.949545556552186,0.630513414371499,0.8989292185619241,572.0,322.0,1158.0,152.0,138
Egypt,maize flour,zinc,Unknown,,,,141,1.2267395438165623,11.949545556552186,0.630513414371499,0.8989292185619241,572.0,322.0,1158.0,152.0,138
Egypt,maize flour,folic acid,Unknown,,,,141,1.2267395438165623,11.949545556552186,0.630513414371499,0.8989292185619241,572.0,322.0,1158.0,152.0,138
Egypt,maize flour,vitamin b12,Unknown,,,,141,1.2267395438165623,11.949545556552186,0.630513414371499,0.8989292185619241,572.0,322.0,1158.0,152.0,138
Egypt,maize flour,vitamin b1,Unknown,,,,141,1.2267395438165623,11.949545556552186,0.630513414371499,0.8989292185619241,572.0,322.0,1158.0,152.0,138
Egypt,maize flour,vitamin a,,,,,141,1.2267395438165623,11.949545556552186,0.630513414371499,0.8989292185619241,572.0,322.0,1158.0,152.0,138
Egypt,wheat flour,vitamin a,,,,,141,1.2267395438165623,11.949545556552186,0.630513414371499,0.8989292185619241,572.0,322.0,1158.0,152.0,138
Ethiopia,wheat flour,iron,Voluntary,28.0,39.5,0.0,179,1.0064857604488053,5.693807341623042,0.33767313792055,0.6444877210085079,437.0,33.0,333.0,79.0,174
Ethiopia,wheat flour,zinc,Voluntary,28.0,39.5,0.0,179,1.0064857604488053,5.693807341623042,0.33767313792055,0.6444877210085079,437.0,33.0,333.0,79.0,174
Ethiopia,wheat flour,folic acid,Voluntary,28.0,39.5,1.0,179,1.0064857604488053,5.693807341623042,0.33767313792055,0.6444877210085079,437.0,33.0,333.0,79.0,174
Ethiopia,wheat flour,vitamin b12,Voluntary,28.0,39.5,0.0,179,1.0064857604488053,5.693807341623042,0.33767313792055,0.6444877210085079,437.0,33.0,333.0,79.0,174
Ethiopia,wheat flour,vitamin b1,Voluntary,28.0,39.5,0.0,179,1.0064857604488053,5.693807341623042,0.33767313792055,0.6444877210085079,437.0,33.0,333.0,79.0,174
Ethiopia,oil,vitamin a,Voluntary,29.35,57.2,1.0,179,1.0064857604488053,5.693807341623042,0.33767313792055,0.6444877210085079,437.0,33.0,333.0,79.0,174
Ethiopia,oil,vitamin d,Voluntary,29.35,57.2,0.0,179,1.0064857604488053,5.693807341623042,0.33767313792055,0.6444877210085079,437.0,33.0,333.0,79.0,174
Ethiopia,maize flour,iron,None,,,,179,1.0064857604488053,5.693807341623042,0.33767313792055,0.6444877210085079,437.0,33.0,333.0,79.0,174
Ethiopia,maize flour,zinc,None,,,,179,1.0064857604488053,5.693807341623042,0.33767313792055,0.6444877210085079,437.0,33.0,333.0,79.0,174
Ethiopia,maize flour,folic acid,None,,,,179,1.0064857604488053,5.693807341623042,0.33767313792055,0.6444877210085079,437.0,33.0,333.0,79.0,174
Ethiopia,maize flour,vitamin b12,None,,,,179,1.0064857604488053,5.693807341623042,0.33767313792055,0.6444877210085079,437.0,33.0,333.0,79.0,174
Ethiopia,maize flour,vitamin b1,None,,,,179,1.0064857604488053,5.693807341623042,0.33767313792055,0.6444877210085079,437.0,33.0,333.0,79.0,174
Ethiopia,salt,folic acid,Unknown,,,,179,1.0064857604488053,5.693807341623042,0.33767313792055,0.6444877210085079,437.0,33.0,333.0,79.0,174
Ethiopia,maize flour,vitamin a,,,,,179,1.0064857604488053,5.693807341623042,0.33767313792055,0.6444877210085079,437.0,33.0,333.0,79.0,174
Ethiopia,salt,iron,,,,85.6,179,1.0064857604488053,5.693807341623042,0.33767313792055,0.6444877210085079,437.0,33.0,333.0,79.0,174
Ethiopia,wheat flour,vitamin a,,28.0,39.5,0.0,179,1.0064857604488053,5.693807341623042,0.33767313792055,0.6444877210085079,437.0,33.0,333.0,79.0,174
Ghana,wheat flour,iron,Mandatory,,,,207,1.4063555283767417,9.823721727180976,0.5591051260179721,0.627260697424694,194.0,284.0,152.0,155.0,199
Ghana,wheat flour,zinc,Mandatory,,,,207,1.4063555283767417,9.823721727180976,0.5591051260179721,0.627260697424694,194.0,284.0,152.0,155.0,199
Ghana,wheat flour,folic acid,Mandatory,,,,207,1.4063555283767417,9.823721727180976,0.5591051260179721,0.627260697424694,194.0,284.0,152.0,155.0,199
Ghana,wheat flour,vitamin b12,Mandatory,,,,207,1.4063555283767417,9.823721727180976,0.5591051260179721,0.627260697424694,194.0,284.0,152.0,155.0,199
Ghana,wheat flour,vitamin b1,Mandatory,,,,207,1.4063555283767417,9.823721727180976,0.5591051260179721,0.627260697424694,194.0,284.0,152.0,155.0,199
Ghana,wheat flour,vitamin a,Mandatory,,,,207,1.4063555283767417,9.823721727180976,0.5591051260179721,0.627260697424694,194.0,284.0,152.0,155.0,199
Ghana,oil,vitamin a,Mandatory,96.275,,29.066666666666666,207,1.4063555283767417,9.823721727180976,0.5591051260179721,0.627260697424694,194.0,284.0,152.0,155.0,199
Ghana,oil,vitamin d,None,96.275,,0.0,207,1.4063555283767417,9.823721727180976,0.5591051260179721,0.627260697424694,194.0,284.0,152.0,155.0,199
Ghana,maize flour,iron,None,,,,207,1.4063555283767417,9.823721727180976,0.5591051260179721,0.627260697424694,194.0,284.0,152.0,155.0,199
Ghana,maize flour,zinc,None,,,,207,1.4063555283767417,9.823721727180976,0.5591051260179721,0.627260697424694,194.0,284.0,152.0,155.0,199
Ghana,maize flour,folic acid,None,,,,207,1.4063555283767417,9.823721727180976,0.5591051260179721,0.627260697424694,194.0,284.0,152.0,155.0,199
Ghana,maize flour,vitamin b12,None,,,,207,1.4063555283767417,9.823721727180976,0.5591051260179721,0.627260697424694,194.0,284.0,152.0,155.0,199
Ghana,maize flour,vitamin b1,None,,,,207,1.4063555283767417,9.823721727180976,0.5591051260179721,0.627260697424694,194.0,284.0,152.0,155.0,199
Ghana,bouillon,iron,Unknown,,,,207,1.4063555283767417,9.823721727180976,0.5591051260179721,0.627260697424694,194.0,284.0,152.0,155.0,199
Ghana,bouillon,zinc,Unknown,,,,207,1.4063555283767417,9.823721727180976,0.5591051260179721,0.627260697424694,194.0,284.0,152.0,155.0,199
Ghana,bouillon,folic acid,Unknown,,,,207,1.4063555283767417,9.823721727180976,0.5591051260179721,0.627260697424694,194.0,284.0,152.0,155.0,199
Ghana,bouillon,vitamin a,Unknown,,,,207,1.4063555283767417,9.823721727180976,0.5591051260179721,0.627260697424694,194.0,284.0,152.0,155.0,199
Ghana,rice,iron,None,,,,207,1.4063555283767417,9.823721727180976,0.5591051260179721,0.627260697424694,194.0,284.0,152.0,155.0,199
Ghana,rice,zinc,None,,,,207,1.4063555283767417,9.823721727180976,0.5591051260179721,0.627260697424694,194.0,284.0,152.0,155.0,199
Ghana,rice,folic acid,None,,,,207,1.4063555283767417,9.823721727180976,0.5591051260179721,0.627260697424694,194.0,284.0,152.0,155.0,199
Ghana,rice,vitamin b12,None,,,,207,1.4063555283767417,9.823721727180976,0.5591051260179721,0.627260697424694,194.0,284.0,152.0,155.0,199
Ghana,rice,vitamin b1,None,,,,207,1.4063555283767417,9.823721727180976,0.5591051260179721,0.627260697424694,194.0,284.0,152.0,155.0,199
Ghana,maize flour,vitamin a,,,,,207,1.4063555283767417,9.823721727180976,0.5591051260179721,0.627260697424694,194.0,284.0,152.0,155.0,199
India,wheat flour,iron,Voluntary,83.2,7.1,6.3,163,2.0855737635414306,20.423178434640462,0.5578565533183989,0.9021063059835001,63.0,645.0,527.0,252.0,159
India,wheat flour,zinc,Voluntary,83.2,7.1,0.301,163,2.0855737635414306,20.423178434640462,0.5578565533183989,0.9021063059835001,63.0,645.0,527.0,252.0,159
India,wheat flour,folic acid,Voluntary,83.2,7.1,6.3,163,2.0855737635414306,20.423178434640462,0.5578565533183989,0.9021063059835001,63.0,645.0,527.0,252.0,159
India,wheat flour,vitamin b12,Voluntary,83.2,7.1,6.3,163,2.0855737635414306,20.423178434640462,0.5578565533183989,0.9021063059835001,63.0,645.0,527.0,252.0,159
India,wheat flour,vitamin b1,Voluntary,83.2,7.1,0.301,163,2.0855737635414306,20.423178434640462,0.5578565533183989,0.9021063059835001,63.0,645.0,527.0,252.0,159
India,wheat flour,vitamin a,Voluntary,83.2,7.1,0.301,163,2.0855737635414306,20.423178434640462,0.5578565533183989,0.9021063059835001,63.0,645.0,527.0,252.0,159
India,oil,vitamin a,Voluntary,100.0,89.4,24.3,163,2.0855737635414306,20.423178434640462,0.5578565533183989,0.9021063059835001,63.0,645.0,527.0,252.0,159
India,oil,vitamin d,Voluntary,100.0,89.4,24.3,163,2.0855737635414306,20.423178434640462,0.5578565533183989,0.9021063059835001,63.0,645.0,527.0,252.0,159
India,rice,iron,Voluntary,50.0,25.0,0.0,163,2.0855737635414306,20.423178434640462,0.5578565533183989,0.9021063059835001,63.0,645.0,527.0,252.0,159
India,rice,zinc,Voluntary,50.0,25.0,0.0,163,2.0855737635414306,20.423178434640462,0.5578565533183989,0.9021063059835001,63.0,645.0,527.0,252.0,159
India,rice,folic acid,Voluntary,50.0,25.0,0.0,163,2.0855737635414306,20.423178434640462,0.5578565533183989,0.9021063059835001,63.0,645.0,527.0,252.0,159
