location_name,vehicle,nutrient,standard,percent of population eating vehicle,percent of population eating industrially produced vehicle,percent of population eating fortified vehicle,location_id,sodium,whole_grains,sdi,hh_salt,fao_maize_and_products,fao_rice_and_products,fao_wheat_and_products,fao_oil_all,parent_id
Angola,wheat flour,iron,Unknown,,,,168,0.9811170685907364,8.870610394823604,0.464635259044516,0.805634410354085,415.0,80.0,256.0,282.0,167
Angola,wheat flour,zinc,Unknown,,,,168,0.9811170685907364,8.870610394823604,0.464635259044516,0.805634410354085,415.0,80.0,256.0,282.0,167
Angola,wheat flour,folic acid,Unknown,,,,168,0.9811170685907364,8.870610394823604,0.464635259044516,0.805634410354085,415.0,80.0,256.0,282.0,167
Angola,wheat flour,vitamin b12,Unknown,,,,168,0.9811170685907364,8.870610394823604,0.464635259044516,0.805634410354085,415.0,80.0,256.0,282.0,167
Angola,wheat flour,vitamin b1,Unknown,,,,168,0.9811170685907364,8.870610394823604,0.464635259044516,0.805634410354085,415.0,80.0,256.0,282.0,167
Angola,oil,vitamin a,Unknown,,,,168,0.9811170685907364,8.870610394823604,0.464635259044516,0.805634410354085,415.0,80.0,256.0,282.0,167
Angola,oil,vitamin d,Unknown,,,,168,0.9811170685907364,8.870610394823604,0.464635259044516,0.805634410354085,415.0,80.0,256.0,282.0,167
Angola,maize flour,iron,Unknown,,,,168,0.9811170685907364,8.870610394823604,0.464635259044516,0.805634410354085,415.0,80.0,256.0,282.0,167
Angola,maize flour,zinc,Unknown,,,,168,0.9811170685907364,8.870610394823604,0.464635259044516,0.805634410354085,415.0,80.0,256.0,282.0,167
Angola,maize flour,folic acid,Unknown,,,,168,0.9811170685907364,8.870610394823604,0.464635259044516,0.805634410354085,415.0,80.0,256.0,282.0,167
Angola,maize flour,vitamin b12,Unknown,,,,168,0.9811170685907364,8.870610394823604,0.464635259044516,0.805634410354085,415.0,80.0,256.0,282.0,167
Angola,maize flour,vitamin b1,Unknown,,,,168,0.9811170685907364,8.870610394823604,0.464635259044516,0.805634410354085,415.0,80.0,256.0,282.0,167
Angola,maize flour,vitamin a,,,,,168,0.9811170685907364,8.870610394823604,0.464635259044516,0.805634410354085,415.0,80.0,256.0,282.0,167
