location_name,fao_coconut_oil,fao_cottonseed_oil,fao_groundnut_oil,fao_maize_and_products,fao_maize_germ_oil,fao_oilcrops_oil_other,fao_oilcrops_other,fao_olive_oil,fao_palm_oil,fao_palmkernel_oil,fao_rape_and_mustard_oil,fao_rice_and_products,fao_ricebran_oil,fao_sesameseed_oil,fao_soyabean_oil,fao_sunflowerseed_oil,fao_wheat_and_products
Angola,0.0,0.0,25.0,415.0,0.0,11.0,0.0,3.0,161.0,6.0,0.0,80.0,,0.0,65.0,11.0,256.0
Bangladesh,6.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,87.0,,22.0,1728.0,0.0,2.0,58.0,0.0,164.0
Burkina Faso,5.0,78.0,12.0,629.0,0.0,2.0,0.0,0.0,92.0,1.0,0.0,221.0,,0.0,0.0,0.0,109.0
Cameroon,1.0,22.0,57.0,381.0,0.0,4.0,16.0,0.0,118.0,9.0,0.0,277.0,,0.0,1.0,0.0,192.0
China,2.0,13.0,17.0,57.0,5.0,2.0,,1.0,49.0,2.0,36.0,821.0,2.0,5.0,59.0,4.0,563.0
Côte d'Ivoire,10.0,22.0,15.0,232.0,0.0,11.0,0.0,1.0,273.0,24.0,0.0,601.0,,0.0,1.0,3.0,181.0
Egypt,1.0,0.0,3.0,572.0,7.0,10.0,0.0,6.0,0.0,3.0,,322.0,,,85.0,37.0,1158.0
Ethiopia,0.0,1.0,1.0,437.0,0.0,13.0,0.0,0.0,56.0,0.0,4.0,33.0,,0.0,1.0,3.0,333.0
Ghana,6.0,0.0,54.0,194.0,0.0,19.0,6.0,1.0,50.0,14.0,0.0,284.0,,0.0,3.0,2.0,152.0
India,5.0,22.0,25.0,63.0,0.0,2.0,0.0,0.0,42.0,,48.0,645.0,8.0,1.0,53.0,46.0,527.0
Indonesia,4.0,0.0,3.0,184.0,1.0,2.0,0.0,0.0,139.0,102.0,0.0,1286.0,0.0,0.0,45.0,1.0,274.0
Kenya,2.0,1.0,0.0,656.0,10.0,97.0,,0.0,47.0,2.0,2.0,148.0,,0.0,2.0,4.0,299.0
Madagascar,8.0,1.0,1.0,66.0,0.0,2.0,0.0,0.0,24.0,,0.0,1075.0,,0.0,32.0,4.0,105.0
Mozambique,24.0,4.0,9.0,321.0,15.0,13.0,0.0,1.0,161.0,0.0,0.0,238.0,,4.0,34.0,14.0,184.0
Myanmar,0.0,14.0,114.0,43.0,,2.0,,0.0,0.0,2.0,0.0,1221.0,,28.0,10.0,20.0,69.0
Nepal,3.0,0.0,1.0,345.0,0.0,15.0,0.0,0.0,17.0,0.0,55.0,864.0,8.0,0.0,107.0,28.0,400.0
Niger,0.0,0.0,38.0,24.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,181.0,0.0,0.0,0.0,0.0,26.0
Nigeria,2.0,2.0,41.0,315.0,0.0,18.0,18.0,0.0,172.0,15.0,0.0,266.0,,6.0,10.0,0.0,195.0
Pakistan,1.0,42.0,2.0,164.0,0.0,6.0,,0.0,187.0,1.0,23.0,138.0,1.0,0.0,9.0,6.0,920.0
South Africa,2.0,1.0,1.0,815.0,36.0,0.0,0.0,2.0,24.0,7.0,,149.0,,0.0,112.0,130.0,485.0
Sudan,0.0,8.0,98.0,2.0,0.0,8.0,8.0,0.0,5.0,2.0,0.0,19.0,0.0,14.0,0.0,68.0,530.0
Uganda,0.0,6.0,4.0,361.0,0.0,13.0,,0.0,142.0,1.0,0.0,65.0,0.0,19.0,7.0,45.0,109.0
United Republic of Tanzania,6.0,5.0,3.0,530.0,11.0,17.0,2.0,0.0,84.0,2.0,0.0,228.0,,5.0,1.0,103.0,131.0
Viet Nam,27.0,0.0,9.0,124.0,0.0,5.0,,0.0,,0.0,1.0,1319.0,3.0,2.0,20.0,0.0,112.0
