,Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
137,FBS,New Food Balances,7,Angola,664,Food supply (kcal/capita/day),2511,Wheat and products,2018,2018,kcal/capita/day,256.0,Fc,Calculated data
139,FBS,New Food Balances,7,Angola,664,Food supply (kcal/capita/day),2805,Rice and products,2018,2018,kcal/capita/day,80.0,Fc,Calculated data
143,FBS,New Food Balances,7,Angola,664,Food supply (kcal/capita/day),2514,Maize and products,2018,2018,kcal/capita/day,415.0,Fc,Calculated data
181,FBS,New Food Balances,7,Angola,664,Food supply (kcal/capita/day),2570,"Oilcrops, Other",2018,2018,kcal/capita/day,0.0,Fc,Calculated data
183,FBS,New Food Balances,7,Angola,664,Food supply (kcal/capita/day),2571,Soyabean Oil,2018,2018,kcal/capita/day,65.0,Fc,Calculated data
185,FBS,New Food Balances,7,Angola,664,Food supply (kcal/capita/day),2572,Groundnut Oil,2018,2018,kcal/capita/day,25.0,Fc,Calculated data
187,FBS,New Food Balances,7,Angola,664,Food supply (kcal/capita/day),2573,Sunflowerseed Oil,2018,2018,kcal/capita/day,11.0,Fc,Calculated data
189,FBS,New Food Balances,7,Angola,664,Food supply (kcal/capita/day),2574,Rape and Mustard Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
191,FBS,New Food Balances,7,Angola,664,Food supply (kcal/capita/day),2575,Cottonseed Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
193,FBS,New Food Balances,7,Angola,664,Food supply (kcal/capita/day),2576,Palmkernel Oil,2018,2018,kcal/capita/day,6.0,Fc,Calculated data
195,FBS,New Food Balances,7,Angola,664,Food supply (kcal/capita/day),2577,Palm Oil,2018,2018,kcal/capita/day,161.0,Fc,Calculated data
197,FBS,New Food Balances,7,Angola,664,Food supply (kcal/capita/day),2578,Coconut Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
199,FBS,New Food Balances,7,Angola,664,Food supply (kcal/capita/day),2579,Sesameseed Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
201,FBS,New Food Balances,7,Angola,664,Food supply (kcal/capita/day),2580,Olive Oil,2018,2018,kcal/capita/day,3.0,Fc,Calculated data
204,FBS,New Food Balances,7,Angola,664,Food supply (kcal/capita/day),2582,Maize Germ Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
206,FBS,New Food Balances,7,Angola,664,Food supply (kcal/capita/day),2586,"Oilcrops Oil, Other",2018,2018,kcal/capita/day,11.0,Fc,Calculated data
340,FBS,New Food Balances,16,Bangladesh,664,Food supply (kcal/capita/day),2511,Wheat and products,2018,2018,kcal/capita/day,164.0,Fc,Calculated data
342,FBS,New Food Balances,16,Bangladesh,664,Food supply (kcal/capita/day),2805,Rice and products,2018,2018,kcal/capita/day,1728.0,Fc,Calculated data
346,FBS,New Food Balances,16,Bangladesh,664,Food supply (kcal/capita/day),2514,Maize and products,2018,2018,kcal/capita/day,7.0,Fc,Calculated data
384,FBS,New Food Balances,16,Bangladesh,664,Food supply (kcal/capita/day),2570,"Oilcrops, Other",2018,2018,kcal/capita/day,0.0,Fc,Calculated data
386,FBS,New Food Balances,16,Bangladesh,664,Food supply (kcal/capita/day),2571,Soyabean Oil,2018,2018,kcal/capita/day,58.0,Fc,Calculated data
388,FBS,New Food Balances,16,Bangladesh,664,Food supply (kcal/capita/day),2572,Groundnut Oil,2018,2018,kcal/capita/day,2.0,Fc,Calculated data
390,FBS,New Food Balances,16,Bangladesh,664,Food supply (kcal/capita/day),2573,Sunflowerseed Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
392,FBS,New Food Balances,16,Bangladesh,664,Food supply (kcal/capita/day),2574,Rape and Mustard Oil,2018,2018,kcal/capita/day,22.0,Fc,Calculated data
394,FBS,New Food Balances,16,Bangladesh,664,Food supply (kcal/capita/day),2575,Cottonseed Oil,2018,2018,kcal/capita/day,1.0,Fc,Calculated data
397,FBS,New Food Balances,16,Bangladesh,664,Food supply (kcal/capita/day),2577,Palm Oil,2018,2018,kcal/capita/day,87.0,Fc,Calculated data
399,FBS,New Food Balances,16,Bangladesh,664,Food supply (kcal/capita/day),2578,Coconut Oil,2018,2018,kcal/capita/day,6.0,Fc,Calculated data
401,FBS,New Food Balances,16,Bangladesh,664,Food supply (kcal/capita/day),2579,Sesameseed Oil,2018,2018,kcal/capita/day,2.0,Fc,Calculated data
403,FBS,New Food Balances,16,Bangladesh,664,Food supply (kcal/capita/day),2580,Olive Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
405,FBS,New Food Balances,16,Bangladesh,664,Food supply (kcal/capita/day),2581,Ricebran Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
407,FBS,New Food Balances,16,Bangladesh,664,Food supply (kcal/capita/day),2582,Maize Germ Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
409,FBS,New Food Balances,16,Bangladesh,664,Food supply (kcal/capita/day),2586,"Oilcrops Oil, Other",2018,2018,kcal/capita/day,0.0,Fc,Calculated data
564,FBS,New Food Balances,233,Burkina Faso,664,Food supply (kcal/capita/day),2511,Wheat and products,2018,2018,kcal/capita/day,109.0,Fc,Calculated data
566,FBS,New Food Balances,233,Burkina Faso,664,Food supply (kcal/capita/day),2805,Rice and products,2018,2018,kcal/capita/day,221.0,Fc,Calculated data
570,FBS,New Food Balances,233,Burkina Faso,664,Food supply (kcal/capita/day),2514,Maize and products,2018,2018,kcal/capita/day,629.0,Fc,Calculated data
