Location,,
,,
,Oil fortified with vitamin A,IHME
Angola,8.8,8.8
Bangladesh,42.8,42.8
Burkina Faso,51.1,51.1
Côte d'Ivoire,30.5,75
Cameroon,20,30.5
China,5,0
Democratic Republic of the Congo,3,0
Egypt,5,0
Ethiopia,5,0
Ghana,32.9,32.9
India,24.3,24.3
Indonesia,43.8,43.8
Kenya,50,0
Madagascar,18,18
Mozambique,37.6,37.6
Myanmar,0,0
Nepal,0,0
Niger,75,75
Nigeria,7.5,7.5
Pakistan,28.5,28.5
South Africa,30.2,30.2
Sudan,80,80
Uganda,54.4,54.4
United Republic of Tanzania,53.6,53.6
Viet Nam,70,0
