location_name,location_id
Afghanistan,160
Albania,43
Algeria,139
Andorra,74
Angola,168
Antigua and Barbuda,105
Argentina,97
Armenia,33
Australia,71
Austria,75
Azerbaijan,34
Bahamas,106
Bahrain,140
Bangladesh,161
Barbados,107
Belarus,57
Belgium,76
Belize,108
Benin,200
Bhutan,162
Bolivia (Plurinational State of),121
Bosnia and Herzegovina,44
Botswana,193
Brazil,135
Brunei Darussalam,66
Bulgaria,45
Burkina Faso,201
Burundi,175
Cabo Verde,203
Cambodia,10
Cameroon,202
Canada,101
Central African Republic,169
Chad,204
Chile,98
China,6
Colombia,125
Comoros,176
Congo,170
Costa Rica,126
Croatia,46
Cuba,109
Cyprus,77
Czechia,47
Côte d'Ivoire,205
Democratic People's Republic of Korea,7
Democratic Republic of the Congo,171
Denmark,78
Djibouti,177
Dominica,110
Dominican Republic,111
Ecuador,122
Egypt,141
El Salvador,127
Equatorial Guinea,172
Eritrea,178
Estonia,58
Eswatini,197
Ethiopia,179
Fiji,22
Finland,79
France,80
Gabon,173
Gambia,206
Georgia,35
Germany,81
Ghana,207
Greece,82
Greenland,349
Grenada,112
Guatemala,128
Guinea,208
Guinea-Bissau,209
Guyana,113
Haiti,114
Honduras,129
Hungary,48
Iceland,83
India,163
Indonesia,11
Iran (Islamic Republic of),142
Iraq,143
Ireland,84
Israel,85
Italy,86
Jamaica,115
Japan,67
Jordan,144
Kazakhstan,36
Kenya,180
Kiribati,23
Kuwait,145
Kyrgyzstan,37
Lao People's Democratic Republic,12
Latvia,59
Lebanon,146
Lesotho,194
Liberia,210
Libya,147
Lithuania,60
Luxembourg,87
Madagascar,181
Malawi,182
Malaysia,13
Maldives,14
Mali,211
Malta,88
Marshall Islands,24
Mauritania,212
Mauritius,183
Mexico,130
Micronesia (Federated States of),25
Monaco,367
Mongolia,38
Montenegro,50
Morocco,148
Mozambique,184
Myanmar,15
Namibia,195
Nauru,369
Nepal,164
Netherlands,89
New Zealand,72
Nicaragua,131
Niger,213
Nigeria,214
North Macedonia,49
Norway,90
Oman,150
Pakistan,165
Palau,380
Palestine,149
Panama,132
Papua New Guinea,26
Paraguay,136
Peru,123
Philippines,16
Poland,51
Portugal,91
Qatar,151
Republic of Korea,68
Republic of Moldova,61
Romania,52
Russian Federation,62
Rwanda,185
Saint Kitts and Nevis,393
Saint Lucia,116
Saint Vincent and the Grenadines,117
Samoa,27
San Marino,396
Sao Tome and Principe,215
Saudi Arabia,152
Senegal,216
Serbia,53
Seychelles,186
Sierra Leone,217
Singapore,69
Slovakia,54
Slovenia,55
Solomon Islands,28
Somalia,187
South Africa,196
South Sudan,435
Spain,92
Sri Lanka,17
Sudan,522
Suriname,118
Sweden,93
Switzerland,94
Syrian Arab Republic,153
Taiwan (Province of China),8
Tajikistan,39
Thailand,18
Timor-Leste,19
Togo,218
Tonga,29
Trinidad and Tobago,119
Tunisia,154
Turkey,155
Turkmenistan,40
Tuvalu,416
Uganda,190
Ukraine,63
United Arab Emirates,156
United Kingdom,95
United Republic of Tanzania,189
United States of America,102
Uruguay,99
Uzbekistan,41
Vanuatu,30
Venezuela (Bolivarian Republic of),133
Viet Nam,20
Yemen,157
Zambia,191
Zimbabwe,198
