,location_name,location_id,stunting_prevalence,population_under_5,number_stunted,cumulative_number_stunted,cum_percent_global_stunted_pop
1,India,163,0.3988654406839208,117070761.3035963,46695480.798561044,46695480.798561044,0.26395087424022085
2,Pakistan,165,0.4196055396347128,30526483.028257385,12809081.384221843,59504562.18278289,0.3363554875295583
3,Nigeria,214,0.3657385384428866,33521637.830718093,12260154.826418612,71764717.0092015,0.4056572385643903
4,China,6,0.1105145078542299,81490859.22998548,9005922.202420173,80770639.21162167,0.456564114305168
5,Ethiopia,179,0.4042139532730084,16679669.900855575,6742155.30991364,87512794.5215353,0.49467482133465623
6,Indonesia,11,0.3417804239849557,19706353.680997606,6735245.916288854,94248040.43782416,0.5327464723258182
7,Bangladesh,161,0.3987966718453745,13745911.729064621,5481823.849031268,99729864.28685543,0.5637330297536043
8,Democratic Republic of the Congo,171,0.37622650566357924,13629465.151944442,5127766.048179582,104857630.33503501,0.592718240060252
9,Philippines,16,0.3009186920190585,12654308.899082517,3807918.0823170436,108665548.41735205,0.6142428777698117
10,United Republic of Tanzania,189,0.39421698130271116,9307276.963743828,3669086.628795355,112334635.0461474,0.6349827568067459
11,Afghanistan,160,0.504491285541596,6645140.577422266,3352415.512508382,115687050.55865578,0.6539326206952945
12,Niger,213,0.4682176514470417,4852863.614130893,2272196.4042011695,117959246.96285695,0.6667764380642949
13,Uganda,190,0.3110063495884017,7089749.815962385,2204957.209757504,120164204.17261446,0.6792401791635343
14,Yemen,157,0.45188326286182406,4448170.432780626,2010053.7689304014,122174257.94154486,0.6906022090753322
15,Egypt,141,0.18356435891581052,10825194.113205368,1987119.8175297494,124161377.75907461,0.7018346025336989
16,Sudan,522,0.3586076488629842,5512746.8695767615,1976913.1936756985,126138290.95275031,0.7130093020301822
17,Angola,168,0.38124033683807634,5147150.259388045,1962301.2986452905,128100592.2513956,0.7241014063289799
18,Kenya,180,0.29963893591494084,6416042.78165943,1922496.2318811687,130023088.48327677,0.7349685085078315
19,Madagascar,181,0.4793465107880188,3939181.5160302985,1888232.915069782,131911321.39834656,0.7456419338624579
20,Mozambique,184,0.3535578500484878,5105036.169746524,1804925.612595348,133716247.01094191,0.755844456360048
21,Viet Nam,20,0.25850871250820806,6937448.797869344,1793390.9568288198,135509637.96777073,0.7659817780625813
22,Brazil,135,0.09508446380438128,15496029.340376766,1473431.640926685,136983069.6086974,0.7743104977396209
23,Myanmar,15,0.28792376659358504,5018670.1614699215,1444994.4161812554,138428064.02487868,0.7824784731603823
24,Cameroon,202,0.3202850821704491,4207109.249479896,1347474.331669725,139775538.3565484,0.7900952065525233
25,Burkina Faso,201,0.3243619605528538,4044957.3108162545,1312030.2836889597,141087568.64023736,0.7975115889194443
26,Mexico,130,0.12485802183203865,10466631.597314788,1306842.9164854353,142394411.5567228,0.8048986491745685
27,Chad,204,0.3839044831653433,3332666.5615817406,1279425.63388646,143673837.19060925,0.8121307304983802
28,Zambia,191,0.43820811498279416,2819352.3660711898,1235463.0858083367,144909300.27641758,0.8191143091234167
29,Côte d'Ivoire,205,0.2998634852449111,4011998.5216548587,1203051.8595008568,146112352.13591844,0.8259146800509896
30,South Africa,196,0.2342067905561617,5094527.156363233,1193172.8546930416,147305524.9906115,0.8326592089160963
31,Russian Federation,62,0.1265849087913385,9138950.533357792,1156853.2197136504,148462378.21032515,0.8391984374129243
32,Mali,211,0.27352423943872545,4064332.091207914,1111693.3440740493,149574071.5543992,0.8454823951972164
33,Burundi,175,0.5265807410082611,2078971.030315359,1094746.1056781698,150668817.66007736,0.8516705570219413
34,Somalia,187,0.29226410613171844,3732005.859369114,1090731.3565668499,151759549.0166442,0.8578360250758844
35,Malawi,182,0.39159998327348194,2586010.8067486403,1012681.7886678111,152772230.805312,0.8635603101431933
36,Guatemala,128,0.47557616467986996,1992676.820472099,947669.5997265986,153719900.4050386,0.8689171073120197
37,Iraq,143,0.2010434669474189,4660090.12698293,936880.6754160859,154656781.08045468,0.8742129190074088
38,Benin,200,0.40468562176396916,2228054.457622434,901661.6035069178,155558442.6839616,0.8793096513773179
39,Nepal,164,0.2800331586677743,2995967.6807536976,838970.2929080239,156397412.9768696,0.884052014845636
40,Ghana,207,0.2051791412184581,3970634.8197117904,814691.4424005724,157212104.4192702,0.888657139683847
41,Iran (Islamic Republic of),142,0.10246702114867447,7066738.397274744,724107.6328057011,157936212.0520759,0.892750230480954
42,Uzbekistan,41,0.1994270227668831,3616370.785846527,721202.0590425063,158657414.1111184,0.8968268972318398
43,Cambodia,10,0.4038638721593732,1767535.3197876033,713843.6584278775,159371257.76954627,0.9008619698874935
44,Guinea,208,0.33037911161095135,2143394.8768944293,708132.895259846,160079390.66480613,0.9048647618833274
45,Papua New Guinea,26,0.46686315717504934,1448833.153429877,676406.820230155,160755797.48503628,0.908688219067803
46,Rwanda,185,0.4000429104184009,1650396.550540157,660229.4394225739,161416026.92445886,0.9124202319897063
47,Algeria,139,0.14354691889891757,4281790.83280756,614637.8814191556,162030664.805878,0.9158945340713489
48,Zimbabwe,198,0.285237099520804,2109552.6978579145,601722.6928232785,162632387.4987013,0.9192958317580788
49,Peru,123,0.17314706310104724,3113320.752243527,539062.3447425099,163171449.8434438,0.9223429355619475
50,Turkey,155,0.10179128163816456,4893909.56652069,498157.3269974154,163669607.17044124,0.9251588196629672
51,Democratic People's Republic of Korea,7,0.29762548871164335,1665363.9972942797,495654.7735774859,164165261.94401872,0.9279605578305534
52,Malaysia,13,0.18479145799898014,2567753.819838299,474498.97215036984,164639760.91616908,0.930642710715229
53,South Sudan,435,0.3071527139601692,1516375.155415636,465758.7443676859,165105519.66053677,0.9332754585884379
54,Morocco,148,0.1498922126950385,3047037.9472255623,456727.2600753875,165562246.92061216,0.935857155093637
55,Colombia,125,0.11802963822478907,3821465.477118251,451046.18775278813,166013293.10836494,0.9384067387694889
56,Sierra Leone,217,0.36680179364087195,1229658.085779104,451040.7914287765,166464333.8997937,0.9409562919420797
57,Ukraine,63,0.20789703250329034,2143698.550292601,445668.5671874372,166910002.46698114,0.943475478079984
58,Thailand,18,0.13642388386292814,3125273.556682307,426361.9567367074,167336364.42371786,0.9458855316718702
59,Japan,67,0.0864883364453994,4791129.846083665,414376.85008167865,167750741.27379954,0.9482278382500121
60,Eritrea,178,0.43819997088833923,929830.3114217385,407451.6153961012,168158192.88919565,0.9505309992466477
61,United States of America,102,0.020947616970013298,19054274.758552115,399141.6492835423,168557334.53847918,0.9527871873289283
62,Senegal,216,0.18535641587873278,2150606.8275782643,398628.7735242389,168955963.3120034,0.9550404763296975
63,Ecuador,122,0.2314304104630932,1709876.9076319921,395717.5145746365,169351680.82657805,0.9572773091481608
64,Lao People's Democratic Republic,12,0.45116151423256745,801479.8953611666,361596.8832181036,169713277.70979616,0.9593212716861994
65,Venezuela (Bolivarian Republic of),133,0.15604787466733783,2291199.8618874424,357536.86888563336,170070814.5786818,0.9613422845872676
66,Haiti,114,0.23419838467561793,1523317.636859755,356758.5299004342,170427573.10858223,0.9633588978493967
67,Tajikistan,39,0.28537443397590434,1205503.4626690324,344019.86831516784,170771592.9768974,0.9653035045531912
68,Central African Republic,169,0.3999479909233974,841446.5685007429,336534.864541259,171108127.84143865,0.9672058015247371
69,Bolivia (Plurinational State of),121,0.21108828593899012,1511709.7038818877,319104.210229766,171427232.0516684,0.9690095699799165
70,Syrian Arab Republic,153,0.27797083059625916,1136929.5502060966,316033.25140022,171743265.30306864,0.9707959795332505
71,Honduras,129,0.2612345196198488,1128073.6058402853,294691.76651751756,172037957.06958616,0.9724617542093749
72,Argentina,97,0.07742505117025159,3465150.459389185,268289.45163082844,172306246.521217,0.9739782871606657
73,Saudi Arabia,152,0.11042270921193338,2281564.6891627386,251936.55421963226,172558183.07543662,0.9754023837242327
74,Togo,218,0.22430430481138058,1114855.2071040417,250066.8221948198,172808249.89763144,0.9768159114405771
75,Sri Lanka,17,0.14794450089434233,1545623.8834904057,228666.5540133632,173036916.4516448,0.9781084720012382
76,Liberia,210,0.3337858409670354,633330.0800971772,211396.61339495616,173248313.06503975,0.9793034124957526
77,Kazakhstan,36,0.10351079948853624,1842365.5082768102,190704.72671183606,173439017.7917516,0.9803813900318332
78,Poland,51,0.08140793370659948,1908575.7517940626,155373.2082760743,173594391.00002766,0.9812596526271985
