measure,,Prevalence of Zinc deficiency in age group 1 to 4,Prevalence of Zinc deficiency in age group 1 to 4,Prevalence of Zinc deficiency in age group 1 to 4,Number in age group 1 to 4 with Zinc deficiency,Number in age group 1 to 4 with Zinc deficiency,Number in age group 1 to 4 with Zinc deficiency,DALYs attributable to Zinc deficiency in age group 1 to 4,DALYs attributable to Zinc deficiency in age group 1 to 4,DALYs attributable to Zinc deficiency in age group 1 to 4,"DALYs attributable to Zinc deficiency per 100,000 person-years in age group 1 to 4","DALYs attributable to Zinc deficiency per 100,000 person-years in age group 1 to 4","DALYs attributable to Zinc deficiency per 100,000 person-years in age group 1 to 4"
estimate,,mean,lower,upper,mean,lower,upper,mean,lower,upper,mean,lower,upper
location_id,location_name,,,,,,,,,,,,
168,Angola,0.14121681635331504,0.025293681085348768,0.2870925932041939,577047.602295177,103356.37355682923,1173132.8946738134,5150.114103536395,767.607541280017,13767.079060552564,126.0351337853214,18.78512149729208,336.9120792951727
161,Bangladesh,0.096903256255566,0.0108247251509027,0.23107529865582807,1076757.4070010216,120280.81857481692,2567633.4213830354,957.3942506410937,90.19303790344559,2849.796608281217,8.61611165191563,0.8116962100839561,25.6468698717998
201,Burkina Faso,0.03095899635998515,0.0,0.09812331070547288,97824.84762943226,0.0,310051.97348919866,1693.5185227413351,0.0,6199.902943540811,53.59541573703625,0.0,196.2106533387456
202,Cameroon,0.04751294589920347,0.0,0.1376401417911282,158838.1814544809,0.0,460137.95616083284,3795.571168301141,0.0,13324.296023147486,113.53615731728148,0.0,398.5669882994741
6,China,0.011407410832378133,0.0,0.03383287162981149,757712.9229657414,0.0,2247276.3041185965,221.83464000681988,0.0,743.3486755289681,0.33397330291078003,0.0,1.119115627627547
205,Côte d'Ivoire,0.05920868902566509,0.0026045848613466815,0.1602083017554288,187451.76564910752,8245.986173258072,507211.5179358643,1627.1558787983124,38.96245804334615,6068.165570685456,51.3954969111335,1.2306718232157603,191.66964204728652
171,Democratic Republic of the Congo,0.325234481638148,0.18035201412726692,0.4383428400632012,3519410.6579311537,1951615.9464452153,4743373.013143915,28539.815243649093,4984.407704894977,79052.15074997558,263.7410896025733,46.06172492321925,730.5338242813264
141,Egypt,0.028587345412267,0.0,0.09214449981899442,249545.55418338563,0.0,804350.6642773079,719.2877171528244,0.0,2487.8106354141146,8.239989082689842,0.0,28.49976718183901
179,Ethiopia,0.0288544066595619,0.0,0.09004411747703786,380289.86725534935,0.0,1186746.4781543282,4194.901786515336,0.0,15205.492988162932,31.828721316879506,0.0,115.37133011355508
207,Ghana,0.04212637651605426,0.0,0.12563779692442248,132675.32674364408,0.0,395691.18298002257,674.0800858239611,0.0,2563.7044689023883,21.403038676710597,0.0,81.40140475519631
163,India,0.11485081730530641,0.020720869976172264,0.24009273381640725,10815992.417075604,1951372.9009147794,22610559.065070193,31741.38590433445,6409.329819338123,72354.22138465368,33.70494331856788,6.805818086263814,76.8301339449659
11,Indonesia,0.07910301634286082,0.008080799704280068,0.18856183803272145,1259078.0343186867,128621.61113159936,3001327.627618147,2825.142447516041,292.28312894519956,7659.904099817356,17.749280275364274,1.8363021588416109,48.124222858075214
180,Kenya,0.051548906953542084,0.0011153518475172945,0.1499225793466038,263831.1691702873,5708.45434670285,767314.9971867985,1708.764677012932,46.0263065979218,5583.713134508687,33.38686312836126,0.8992894219788312,109.09791656962221
181,Madagascar,0.06927001146047139,0.004495632181683918,0.18388437447458475,215986.01571341883,14017.51872942921,573357.107315968,3974.917945942407,162.85541515427735,11982.601609050787,127.481684756481,5.223021702064647,384.3003205756356
184,Mozambique,0.1394587668963528,0.0236215651852871,0.2888309140654859,563028.1529655082,95365.86700433775,1166078.9757770514,2552.568020282916,294.0292735378067,7249.6591927784775,63.225610771461426,7.282932425854208,179.569800571879
15,Myanmar,0.060131502717824095,0.0018754517063883504,0.16848903366146611,240701.62872625986,7507.284200820551,674448.2175198833,345.1720959817134,10.081762611143727,1111.5349889676463,8.623006390723708,0.2518601718901908,27.768100101257357
164,Nepal,0.03883495158104312,0.0,0.1202741133836717,93037.63913019464,0.0,288143.0026851489,126.29088373692522,0.0,443.164235562262,5.271522795400477,0.0,18.49817105357418
213,Niger,0.04249815573698623,0.0,0.12678094130876882,160218.51532183716,0.0,477965.54545348894,6970.558379407489,0.0,24872.15052366691,184.8949074248713,0.0,659.7368127805206
214,Nigeria,0.045404941195417776,0.0006127297186863318,0.13384066057456134,1198739.0944208999,16176.721052046012,3533536.836075368,38748.277862495845,690.0701407450072,123680.27400287187,146.7678234537153,2.6137959717061885,468.46687442411724
165,Pakistan,0.2674177480536359,0.1569405049217452,0.37909240480675666,6469308.18697015,3796668.3241750896,9170915.602589924,41008.892460982046,14735.533038374699,83036.66887524295,169.5158949789595,60.91135168716764,343.24348685717337
196,South Africa,0.03474701229007453,0.0001890641185697525,0.10472425727153015,141946.52907686582,772.3540424112776,427813.61187973846,357.74636059501705,1.3546611623353746,1219.2159977348874,8.757253360942101,0.03316067561684769,29.845120929028756
522,Sudan,0.3376643317120407,0.18873328421476684,0.44016867240976365,1476633.267815471,825345.8243651963,1924892.9901329281,7362.702050588735,2278.214988202936,17063.579973608936,168.36420536460483,52.0963436389293,390.1958904750645
190,Uganda,0.09028546111906453,0.009098915253744734,0.2173906658818532,503919.7462847714,50784.73332585658,1213345.402881585,2313.9815308854627,179.24740095719554,7362.503973779452,41.45876224880663,3.211510239304807,131.91129563078815
189,United Republic of Tanzania,0.06861373508778833,0.00393243910462828,0.18375856743500554,502891.0959808432,28822.051571368338,1346822.866515345,1453.807907588926,78.5201101971324,4598.308705457151,19.835545197968354,1.0713170472072193,62.738660097518746
20,Viet Nam,0.04880907346438437,0.00035491746169576967,0.14188167326887832,273496.5891455311,1988.7432461264218,795019.2648015341,112.91314739071346,0.5059187849776564,350.64463976418244,2.0150840357119106,0.009028787971409324,6.257716059864877
1,Global,0.08784131495849581,0.028854463765548028,0.17600566722350033,46631196.28719153,15317600.428097771,93433879.26097259,258812.80345927645,66896.5294782598,597019.1766879305,48.75375026611137,12.60160489844475,112.46323000748568
