measure,,Prevalence of Neural tube defects in age group Birth,Prevalence of Neural tube defects in age group Birth,Prevalence of Neural tube defects in age group Birth,Number in age group Birth with Neural tube defects,Number in age group Birth with Neural tube defects,Number in age group Birth with Neural tube defects,DALYs attributable to Neural tube defects in age group Under 5,DALYs attributable to Neural tube defects in age group Under 5,DALYs attributable to Neural tube defects in age group Under 5,"DALYs attributable to Neural tube defects per 100,000 person-years in age group Under 5","DALYs attributable to Neural tube defects per 100,000 person-years in age group Under 5","DALYs attributable to Neural tube defects per 100,000 person-years in age group Under 5"
estimate,,mean,lower,upper,mean,lower,upper,mean,lower,upper,mean,lower,upper
location_id,location_name,,,,,,,,,,,,
168,Angola,0.0018188766296099701,0.0014172290367141592,0.0022914660440321462,2008.837840335226,1565.2426728819612,2530.7839048336773,101657.90958088635,49945.052229111105,180731.42240284494,1975.0328717423702,970.3437768892563,3511.2909725765894
161,Bangladesh,0.0008155167946278746,0.0006429851624495965,0.0010194851808884953,2168.8696066210973,1710.021161466825,2711.3242030026177,105013.98497546877,40238.1402089573,225883.41487855092,763.9652214077953,292.72805618180274,1643.2770654342169
201,Burkina Faso,0.0024697972436970666,0.0019134838163492216,0.0031508139710394617,2314.9443523953587,1793.511012032229,2953.2622673057026,215012.8679675013,81859.02625875744,455744.3025081685,5315.578174151672,2023.7302885710467,11266.974345798506
202,Cameroon,0.001833794611822406,0.0014312584624150172,0.0024030662738843667,1657.3827552075932,1293.570762264468,2171.8902303889145,100863.08423406919,46541.92106157489,197535.13546822208,2397.443903947553,1106.26842094316,4695.269928933801
6,China,0.0002637738188363258,0.00021304936519952328,0.0003254425982266185,3935.9912100107354,3179.088934690772,4856.202983427489,225892.97791948926,176534.0285272507,294017.2097660699,277.20038793795135,216.63046652757959,360.7977784800224
205,Côte d'Ivoire,0.002210903007104065,0.0017634453679594368,0.002842453395946233,1972.8867650138773,1573.600477313226,2536.447174304795,106899.2632151351,52360.49690021137,196084.39944842912,2664.4890978434737,1305.0976120154166,4887.449444212375
171,Democratic Republic of the Congo,0.0026200577487553345,0.002022153942373581,0.003333961755547959,7691.998605809253,5936.665065057607,9787.886998933107,285075.0724375723,142369.99572188893,512797.3750881589,2091.6086527203324,1044.5750741846077,3762.417449044219
141,Egypt,0.0008577401815246686,0.0006877487725910205,0.001068111867739296,1807.829666498866,1449.5445835103044,2251.2228798774977,30163.990757130738,9029.079011589993,80556.92000815718,278.6461881578133,83.40801021365203,744.1614364206913
179,Ethiopia,0.0011211016303027158,0.0008679351239487082,0.0014336291028944446,4119.571303030943,3189.2921505664526,5267.976739877947,257768.6472238359,147586.24844764505,405645.85040818783,1545.4061666449047,884.8271538040132,2431.9776879240308
207,Ghana,0.0014031991428094205,0.0011225609923531347,0.001749324067345316,1199.5831749491297,959.6679745577002,1495.4824690952837,69304.51217522418,32651.61271834264,137416.9202130607,1745.4264953092488,822.3272650571442,3460.8299793994943
163,India,0.000943341552186702,0.0007445300479361386,0.0011967757602943203,22131.773919621064,17467.44925959334,28077.60402149056,700936.051052032,376353.42229947605,1232310.3109155858,598.7285324252,321.4751643439726,1052.6200540542059
11,Indonesia,0.00038188035957937693,0.0003026627115063778,0.00048029814337927963,1465.5919918835746,1161.5681066030686,1843.302738660236,125969.02687403222,82072.594727947,174790.31435374825,639.2305188123216,416.4778327666359,886.9744103004435
180,Kenya,0.0009516739667091606,0.0007547552536592247,0.0011922733794953637,1277.793440992833,1013.3946565918551,1600.8414199430563,47562.12333549967,30309.03323934821,72949.4136966173,741.2999718683022,472.39450032951856,1136.9845273654776
181,Madagascar,0.001457322021022741,0.0011407471183312332,0.0018556460861925575,1255.9375834118725,983.1095381894547,1599.218036604428,55788.959610748265,27769.488116947647,102195.8653819489,1416.257651081016,704.9557885043157,2594.342630977222
184,Mozambique,0.001723417671811787,0.0013392596871186512,0.00219085396402291,1938.4029266826396,1506.3237075721393,2464.1488858192847,103545.68297323503,50843.010375691025,188739.82252160055,2028.304590413441,995.938298674493,3697.1299760834386
15,Myanmar,0.0010120547962062373,0.0007865284728572914,0.0012953225930927737,1067.6285026611604,829.7181327777437,1366.4510318125067,71131.1615618245,28706.76802765849,134948.55043208177,1417.330871989223,571.9994959631008,2688.9304554845785
164,Nepal,0.000690767636598228,0.0005432806684001948,0.0008726120145897762,426.94911619095626,335.7904871736289,539.3433459642636,15430.104509956394,5992.941063288064,33444.756626829854,515.0290708768473,200.0335685123417,1116.325681404418
213,Niger,0.0017941652182284337,0.001367921620614571,0.002295221355457603,2050.407602163511,1563.2879634359526,2623.0244952163184,193166.45472141806,64082.56354494795,424090.75396419497,3980.4632909720176,1320.510293311109,8738.979449768569
214,Nigeria,0.0023932239884240356,0.0018243726737135813,0.0030772437058733822,18157.78959847475,13841.819787337265,23347.561291692757,1481163.5952926478,682128.0571601146,2888344.782168343,4418.529914237546,2034.8888100420784,8616.359369892012
165,Pakistan,0.0008988460924903995,0.0006954641868683664,0.0011395945971274762,6009.705421341336,4649.889373820923,7619.355399891713,271397.6450436916,140648.9023094593,487785.909018439,889.0563802992561,460.74387992637446,1597.9106029571478
196,South Africa,0.0005441616937973439,0.00043284930460827335,0.0006707575613438386,563.219951722708,448.00905176443996,694.2496056299257,20835.60560068023,14699.146435229977,28020.640661978134,408.9801656009609,288.52817904543423,550.014550947666
522,Sudan,0.002276683008184031,0.0017144544508374772,0.0029396795048157254,2747.2262775469394,2068.7967108582643,3547.2504315115993,141788.39663225267,54237.053445717946,281943.13567826856,2572.009925119932,983.8480657444367,5114.385665596771
190,Uganda,0.002048059080591646,0.0015897826528756996,0.002580378447395314,3264.0560379472317,2533.6865114475368,4112.430120412579,99491.61722323734,44270.52507343976,187087.79124839124,1403.3163342271196,624.4300041979739,2638.848987691611
189,United Republic of Tanzania,0.0017988356042225244,0.0013880546486643016,0.0022830216251687727,3755.084257962019,2897.575602881796,4765.826596457345,191977.17570842995,93039.02235078796,361083.6165849526,2062.656741131376,999.6374096657723,3879.583878201339
20,Viet Nam,0.00037168956365377445,0.00030763171942380926,0.0004554927282310145,498.2240296366538,412.3589411247284,610.5563478797043,19172.72236044749,7380.117668474826,41694.04583020477,276.36560526884006,106.38085964312177,600.9996908807457
