rei_name,mean_lb_ub,mean,lower,upper
Iron deficiency,"77.67% (76.80%, 78.44%)",0.7767290664787209,0.7680265752059021,0.7843819357291888
Vitamin A deficiency,"68.15% (64.50%, 72.23%)",0.6815139825493399,0.6450039030356872,0.7222656008157171
Zinc deficiency,"72.06% (62.74%, 77.48%)",0.7206039735524007,0.6273981061026136,0.7747577136345135
