location_id,measure,vehicle,draw_4,draw_6,draw_10,draw_13,draw_16,draw_18,draw_20,draw_25,draw_26,draw_27,draw_32,draw_40,draw_43,draw_44,draw_46,draw_55,draw_57,draw_58,draw_62,draw_67,draw_68,draw_73,draw_80,draw_81,draw_82,draw_85,draw_95,draw_99,draw_108,draw_118,draw_127,draw_131,draw_133,draw_137,draw_139,draw_140,draw_146,draw_147,draw_149,draw_153,draw_155,draw_156,draw_158,draw_160,draw_161,draw_164,draw_168,draw_169,draw_170,draw_183,draw_185,draw_187,draw_188,draw_199,draw_200,draw_208,draw_211,draw_218,draw_219,draw_226,draw_227,draw_231,draw_234,draw_237,draw_238,draw_240,draw_244,draw_245,draw_249,draw_250,draw_257,draw_258,draw_271,draw_274,draw_276,draw_282,draw_283,draw_289,draw_297,draw_298,draw_299,draw_301,draw_303,draw_311,draw_314,draw_324,draw_335,draw_336,draw_340,draw_347,draw_354,draw_357,draw_359,draw_364,draw_366,draw_367,draw_368,draw_381,draw_384,draw_388,draw_397,draw_399,draw_405,draw_411,draw_414,draw_417,draw_418,draw_422,draw_428,draw_433,draw_434,draw_442,draw_464,draw_466,draw_481,draw_485,draw_493,draw_502,draw_507,draw_509,draw_510,draw_512,draw_519,draw_523,draw_525,draw_533,draw_539,draw_541,draw_546,draw_550,draw_552,draw_553,draw_558,draw_562,draw_575,draw_576,draw_600,draw_608,draw_610,draw_611,draw_615,draw_619,draw_620,draw_625,draw_627,draw_628,draw_634,draw_635,draw_642,draw_650,draw_653,draw_661,draw_664,draw_669,draw_675,draw_681,draw_684,draw_694,draw_701,draw_705,draw_708,draw_709,draw_710,draw_719,draw_723,draw_726,draw_729,draw_730,draw_733,draw_737,draw_738,draw_743,draw_747,draw_748,draw_750,draw_757,draw_760,draw_766,draw_767,draw_768,draw_769,draw_772,draw_774,draw_776,draw_778,draw_789,draw_791,draw_795,draw_797,draw_798,draw_799,draw_800,draw_801,draw_804,draw_806,draw_807,draw_815,draw_817,draw_827,draw_830,draw_833,draw_840,draw_841,draw_843,draw_847,draw_848,draw_853,draw_855,draw_861,draw_863,draw_873,draw_878,draw_883,draw_886,draw_888,draw_894,draw_895,draw_898,draw_899,draw_904,draw_906,draw_909,draw_910,draw_914,draw_915,draw_917,draw_921,draw_924,draw_927,draw_929,draw_933,draw_936,draw_938,draw_940,draw_943,draw_945,draw_946,draw_952,draw_955,draw_956,draw_971,draw_973,draw_974,draw_978,draw_981,draw_985,draw_988,draw_992,draw_994,draw_999
11,counts_averted,zero wheat flour,-2149.9940359038997,-2256.608589331655,-3501.8066552159435,-1577.2835850940105,-1861.8405878022738,-1730.6304929005223,-1658.9784652060523,-2100.985897505459,-1259.540694582949,-1670.2172906986975,-1515.6985481489914,-2177.4633113889754,-1664.8294366335972,-4255.699598874589,-2036.8696111778588,-2320.3829468757176,-3441.9661910933014,-3130.8014604584246,-1835.4493138391074,-1413.0617580613891,-930.935301395673,-2185.328947183359,-1540.2336674392504,-3268.234285955968,-2370.2883617549896,-1743.68815501651,-2352.066264962909,-1982.5852498583079,-1244.4533095463182,-1775.1041589106078,-2850.4988349992323,-1792.655239230737,-2096.9686269596205,-1601.226782911143,-1555.3786611176024,-2144.6764957086293,-1029.0525105309298,-2534.8988629650157,-2403.3187614460912,-3637.576859753925,-1705.9299599935096,-3122.97722813055,-1366.2466677479579,-2649.7690192566733,-3271.6538769841127,-3566.6104376084404,-2815.274521445986,-2775.1385054643442,-2017.341120031259,-2233.4374657700478,-2013.136254366639,-1952.6289990183252,-2018.731091921636,-2731.3719272860185,-3668.7799449498307,-2543.7755446083156,-1167.8915149333789,-911.3160233573407,-2381.5303104798404,-1057.4022190649926,-2745.463979139295,-3882.823400126831,-2686.5600880314673,-4669.221556245374,-1071.181764735603,-935.862331183765,-2405.7143139469163,-2823.8404867589884,-2142.0112416096854,-958.3404509302072,-2252.0615376888395,-2634.3161928070667,-3794.2998699619147,-1656.6333509109795,-2678.0302815641676,-1338.472530229407,-1760.6439230721755,-1855.69783866118,-716.7619632949044,-1832.261522288122,-1273.0875289937128,-1858.0864458702458,-3106.987414475813,-2631.762503802805,-183.19572152872098,-1847.7337531981461,-1671.8442135161042,-1667.3752790458798,-1005.9911674637547,-1528.8852613577935,-2129.5306165890556,-1864.180287943548,-2737.7819175699024,-1554.4656942347779,-2126.987091243006,-2185.326363440321,-2057.9394551997257,-2228.3429029993526,-1799.702627737602,-2204.942399968278,-1489.9664065359043,-2646.4781861111296,-1718.2262238820342,-1858.734229689983,-2318.2408819187267,-1497.3414817043724,-1964.4053780994484,-2293.7651522627343,-1334.0227521787851,-1439.3073726164291,-2435.5138927904163,-1221.3333920368602,-1155.7944600966189,-919.5767076663449,-2205.7253835169427,-2169.319286926492,-3073.91249732822,-2354.658062016948,-2448.480847466062,-1095.782575092356,-1823.1886280512117,-850.9412799408317,-2325.658201094117,-1226.6875562670195,-2461.6798027238633,-1139.2524856713635,-1916.3961522251152,-1073.749916147414,-1300.6841821107187,-2853.1303999653587,-2989.271138740701,-3310.1185667695804,-1867.6270608104112,-1776.5843020076945,-1405.22953884278,-1435.7141855773893,-4267.247664499931,-772.5541408653012,-2166.3309808745917,-1584.6468046114828,-2570.12963623156,-805.9774417337237,-1596.2689954897278,-2408.221887342667,-2176.2916935569415,-4003.6285449196803,-1971.0582154543738,-3075.9389016393725,-2658.5537650267956,-3016.356160317859,-2112.4520756418974,-2388.6778609163084,-2175.4294625366897,-1619.7424361577337,-2823.4513162516378,-1054.3417349956753,-2099.519232041732,-2070.644518214876,-2322.3211110897546,-1576.1972579323237,-1866.2200026844869,-2121.6985295461523,-2868.9548912133573,-1884.7573580560609,-1849.4302654494227,-2149.9564549525758,-2931.5301507781237,-1298.2779101288957,-1866.2864955794628,-2768.0087399580657,-3615.0399219545766,-1831.3098170265469,-1250.9644535336936,-2684.970424420212,-2701.021009879132,-1594.4179339599677,-1501.9916430085273,-1653.3370160939596,-2113.3219605000204,-2658.8647673060564,-3817.799397008342,-3738.7068538043877,-1417.0360442419592,-2236.2152934055616,-3983.488191150323,-2511.5694877576325,-3610.7592790289377,-2052.873666157165,-1334.3348267361807,-2347.4854858208823,-1606.8676423497786,-1034.8832214132735,-2162.804159792019,-3697.981734165292,-2087.172479321262,-1318.2449382316506,-1793.0268255354722,-2775.738843345521,-832.1697100979219,-1844.3066151063063,-1269.2696721678442,-2166.469259521228,-3115.184182230274,-2163.500721266258,-2101.4587758608,-1695.0656460171128,-1657.9508625259227,-1992.996297918572,-4248.679560399407,-2100.5998600543703,-2044.583848209948,-1936.5907183424372,-1660.5938188585735,-2974.4855476612383,-521.9160946715824,-1269.2905660664785,-1784.543595565927,-3383.2604074991514,-1942.9642310277827,-679.1391282053005,-2214.4056954578195,-1892.9981587230923,-1005.5249882798742,-1933.607570507713,-2381.6225772585267,-2706.816813587516,-3372.529390720537,-2382.8648836373686,-1905.3914022324998,-4462.894546314637,-1741.7219241270889,-3580.900652626488,-2022.0627494892346,-2088.3688634967734,-1663.8361334387178,-4106.934625604185,-1680.332128655224,-3766.5547126513206,-2474.288058327393,-1625.9372966567357,-2138.1814650583656,-1493.5750315747878,-1962.2750385013835,-2626.478421741342,-866.9926322892802,-1808.4262300180358,-1862.4150646759126,-1219.3192753104765,-1012.5983642414444,-1851.8655075055124
163,counts_averted,zero wheat flour,-8055.341251580186,-11351.26214280786,-10692.44187710717,-9390.793361129923,-9035.794430982909,-6273.328573390954,-7119.761073532481,-11508.090501187578,-4898.599475508571,-4757.711029458402,-5732.36014752287,-9636.684924813277,-9537.34937821238,-11671.675199287189,-8890.206675503794,-8298.651710772354,-10905.872113439582,-10504.224330817837,-10637.985189855764,-9450.07673228306,-2942.4758977259653,-14339.758142071647,-6961.155452567578,-13939.392815342968,-10390.715816086245,-7739.648900141623,-6741.186821067546,-10539.960484019517,-4732.68122927294,-5831.902779379309,-7668.146451586085,-6865.219979180259,-9155.250533927083,-5772.424133568791,-9917.438773294143,-9341.551688961928,-6971.9291400311795,-7393.136087720266,-13600.55867624452,-10982.548697749451,-5473.134236900108,-11101.16539446409,-5524.473199442814,-9765.918004301657,-13530.728525678587,-12026.198770593548,-11585.632937152595,-8099.764237282052,-6880.647954645965,-9723.202790693922,-6162.395826633689,-7389.2190116528145,-10687.496635074958,-8399.767512011249,-12233.327357968878,-12782.189045010839,-6096.339372731466,-5955.084895713668,-8758.040694681058,-5928.779802752065,-13401.122410680362,-10854.940449452022,-7992.9955375639465,-11935.78221141848,-3880.918953989933,-4201.963082138814,-11525.699654997317,-12494.479178400761,-9162.526130789527,-2806.625663064247,-5740.871968212985,-12656.901091695014,-17341.838032812575,-6189.18234166496,-9266.61472955123,-5338.976132812483,-5771.880350359128,-8109.776039667113,-1820.2234705162798,-10782.975677278533,-6643.026117869661,-10347.266217923023,-12094.023078276507,-9442.557550137382,-1369.4809409507116,-7159.96788708157,-9560.03050677994,-4438.001891028709,-3781.2921047053596,-8622.101794906304,-7435.597599806266,-9428.504769751189,-11275.734772560916,-7598.267369792874,-5438.304827313898,-9523.216893273071,-9861.639137712544,-10714.841839152767,-7676.180372771633,-9014.549546279972,-5173.625695013878,-9894.139755149008,-13920.353483778297,-7404.602271679673,-7011.271627969322,-5337.524293244215,-8454.354955548197,-10186.797877086465,-4882.4303999006315,-5374.517147883115,-8525.085084495717,-9262.885822252267,-4654.691761647151,-9678.889129799276,-9062.013201745483,-4441.637170523082,-11712.339082179036,-7179.649615211808,-10676.504790492741,-5500.659744375994,-8217.00023556491,-3663.537246078946,-11306.88479455633,-4096.438635557486,-9834.745546960108,-10393.817909552694,-5754.155555938672,-3194.6224225237693,-4551.79268433634,-7697.849331994524,-9424.355878384462,-10673.804325401577,-8439.967681081496,-7075.804685971532,-10747.396748273288,-6922.28447212108,-13791.514577190585,-3495.786509070759,-8441.342906347889,-5650.803473606884,-12705.293997707833,-3977.1767207505923,-7095.834377444599,-6908.943403380261,-6688.112108650493,-11974.385982329475,-8173.809182340781,-7714.453092087158,-14415.01316797587,-10723.831937523308,-8533.754775767284,-9386.058082868054,-7586.264478815552,-5980.155159843263,-9080.869457454646,-5150.686048282352,-7738.551839977472,-8944.00201979431,-11327.116845715052,-4056.1519390616722,-4575.716227473187,-8171.278809623278,-7668.846133018871,-4827.217354999066,-7737.453556635493,-7780.535245230296,-8435.568637674529,-4150.802842657442,-7917.908302238009,-13672.750567850595,-12234.254948943711,-7911.842772925596,-7847.977480698738,-11553.95634684469,-8817.249050331604,-6200.719406730699,-5388.877858112213,-7419.610560013238,-6987.044389150291,-8259.977356616317,-8871.422104430456,-11654.030230868138,-6638.248576729655,-6965.978783797905,-11902.839662489923,-6671.500285062511,-14795.586420665171,-9355.818342013596,-6172.005661035976,-15150.541188539317,-7184.563975627883,-3740.2617899458564,-8897.072096043878,-11765.545051098263,-6762.421410849995,-6229.102696432829,-6335.346538897436,-9349.405779486297,-5614.072947477408,-6733.173334893751,-6532.689751172296,-5437.899324017195,-9505.152265467646,-9324.385212327637,-7266.401071657474,-4564.437438048406,-9159.875771078598,-10401.84340217567,-10243.822336509636,-8686.543928830333,-8403.008513170307,-5888.748608770104,-5357.335852548474,-11605.096409909356,-2558.938479169705,-4472.089935397786,-6792.623754479048,-13268.697187818889,-14902.981400450592,-2833.269131996183,-9455.89931474325,-8633.267087779304,-4998.881836249574,-5545.914617572705,-8053.392614627457,-10682.199322248473,-10137.813258382314,-10422.998426152975,-7237.284883038101,-12846.900595863457,-5008.639620841036,-15452.414465239106,-9934.95856161677,-5670.031638049902,-5161.69050397109,-10608.219192029326,-7982.868176989936,-13869.449049976947,-6501.003387191877,-10998.159586524438,-7860.743405629601,-5299.48242819693,-13035.498502363087,-8628.197231923594,-4456.036607577789,-6016.544034205553,-4334.3519360741875,-4831.8000095933085,-4060.728997958014,-5072.691423415572
205,counts_averted,zero wheat flour,-310.6957655338925,-341.2221686076187,-402.6441470018469,-149.61270357410996,-242.40119558967942,-150.2326542139184,-70.96015458775344,-249.35121113659125,-89.75690736043634,-154.11124272988093,-247.76868332795158,-287.79824021286066,-251.23593223191676,-522.6969954803989,-327.40529528772316,-241.89937493621812,-278.1803133481558,-253.10520221225408,-329.8899425742478,-245.70494878537784,-151.60746622940508,-356.9050669306272,-181.70436619526367,-252.47565310286382,-331.2417353369505,-175.63359512891003,-264.1726681731889,-343.26745461647465,-123.0060042108252,-218.05069475434016,-371.59752900162863,-166.37091962588218,-124.4733782248742,-267.1018177048391,-303.78905378176324,-222.63462812485304,-92.38463909901226,-229.61894182734858,-269.11080012528225,-256.7388051509878,-265.8235011908786,-241.54168669855267,-217.7446730086897,-340.8114896663403,-326.88590419330376,-195.73794094878838,-231.344938867121,-333.1415626926745,-380.9014571469709,-362.49730903949546,-202.2744529501631,-342.8754834254003,-461.9969449779644,-248.13485738613718,-535.5368310732007,-293.93583169722194,-183.84205638962203,-141.47847130770077,-275.927776813823,-193.36251558942314,-242.25061101912164,-336.03386524589234,-340.4288397673033,-376.5558003915731,-118.09039926512409,-182.08770856087983,-309.8164944675454,-230.21128050962656,-219.48189104927351,-116.0896116371022,-197.89786081805673,-328.08929686409203,-357.08682113812574,-207.18273732168967,-339.1172030408796,-110.06198992958389,-294.37544786529395,-144.55502378744492,-57.81841452779949,-294.053622316017,-273.8929567028566,-248.1046295059821,-278.91862729853403,-274.875756324236,-43.66189408686749,-155.62305915983723,-248.4064437002323,-252.5105583382222,-62.08386126772966,-242.7724461762603,-176.7182955996159,-237.14050816135403,-187.4017907863517,-178.11882153478862,-183.2066110990327,-202.20372485686374,-320.43524269532134,-412.39624898077005,-292.63476215645903,-252.4740637718158,-151.6376443101231,-368.83826012660643,-143.09043023832862,-194.75570366871648,-380.51248420320957,-95.47213621729965,-331.88397344798466,-315.3678947775262,-120.4215212495119,-232.70241006371634,-364.3427191395707,-285.53923431355975,-90.38509474051423,-240.63754099601724,-344.3555965239324,-170.11581665934278,-318.9924053537538,-267.6168983454671,-387.40521027353327,-178.38526894553408,-162.08642815076877,-133.39935359371884,-171.63730993546002,-131.32635570432086,-345.7385187086487,-264.1722545407645,-199.14313155412083,-63.2218885819074,-201.27015771243063,-490.3832855056595,-274.83391404196254,-282.1566691481306,-238.1199317921701,-216.23566938996777,-227.36059097596893,-103.83621027397473,-313.1983456631184,-94.00725410985707,-294.8207187367502,-122.37697306418008,-299.8302085046463,-86.4668706602354,-163.87239961502613,-258.02095832235534,-142.21344565467615,-384.2374498318235,-277.00800750806985,-277.06220497070143,-584.0551005958434,-285.65571588936984,-178.9865347604395,-215.61218712678945,-136.29949502381967,-67.9018302154719,-219.8311642338356,-253.793314828736,-347.61248753173214,-296.48304063582594,-310.187753323842,-161.03553878804618,-160.75299486247079,-292.52798821823643,-165.9474620426783,-177.52031492916228,-298.8686763161198,-438.63112837645673,-341.5980229215582,-209.40565940924716,-223.27427089331312,-321.4992853573946,-566.2895187298552,-293.1885163790438,-142.16741462355995,-333.5525478038298,-174.08686375416582,-243.70079689585782,-366.15692481813005,-183.70934918885908,-321.13720993298443,-476.2060499171638,-275.550820204238,-275.1796289787594,-141.49402223293575,-183.5939828648577,-305.23696776751603,-268.2388044807021,-359.9720705578535,-266.3824531200521,-155.31888884241525,-263.86144026541,-251.65984601841467,-76.15335853090737,-263.61964281808156,-409.53564751849046,-145.05953986365475,-199.696014186223,-214.44241645143796,-384.3527018102733,-146.7567636874485,-171.782413210921,-196.21619778008673,-241.5305544193908,-287.6212379527854,-200.19897017088726,-149.16960711616315,-189.58071235100118,-321.4170475827271,-288.26413939616134,-180.231403183867,-202.48240402593206,-203.53923911389143,-167.10446459654037,-178.87286000989766,-155.0598921152402,-33.69723137748532,-319.0736414727233,-297.95680095802095,-212.43809930309044,-151.06516987682335,-67.76034891148481,-212.1659946943639,-247.60028708392957,-200.72343068311386,-195.1520644545913,-340.64696442248913,-240.33434566829104,-368.1764477079142,-244.96556230406827,-253.31096303154757,-385.499094948063,-64.16191513657017,-393.1592693373146,-390.2291416201824,-179.1833060987538,-94.7154093995163,-294.91797199229404,-272.7722487899619,-290.8618567857827,-228.1207089511792,-410.8899034321659,-192.52562727276967,-196.9628602055185,-179.06271445737292,-205.12468271045668,-102.87471577614001,-158.05906391938117,-71.7669008658462,-133.146026267543,-99.29664715042605,-180.50971064709626
213,counts_averted,zero wheat flour,-307.3214283758749,-400.3344778440724,-378.0943895266439,-192.7245129801485,-200.02186566753176,-155.4936426296074,-70.5841287923174,-257.45668751664317,-99.59937557136942,-137.33923873121722,-247.0407954513724,-298.99284992247306,-243.58879392537793,-459.930239701875,-313.09064089687735,-207.74052906305553,-235.07499491945396,-307.2255315685911,-320.86391288385306,-199.56621341425563,-83.26473341172485,-442.38427083721496,-217.62568132975227,-588.9629695159094,-414.78284617760926,-181.12591694652238,-203.62989162639846,-439.37876501519315,-125.47161260154203,-238.8846129202376,-154.69156960961362,-145.996317034581,-287.6801025469427,-171.59639934553016,-362.92694829226366,-324.93588159820706,-124.82874476671017,-191.3557220543201,-160.25709879716663,-410.43958499215836,-227.45363957680496,-250.31464303471904,-217.130161441327,-181.5653580334973,-328.3097563024538,-254.11594537410411,-280.72455499196144,-350.21335650699234,-209.9199900234654,-422.4359980091772,-363.3377216900841,-301.6170750445659,-269.1792606916007,-280.2150740962593,-458.9780964989306,-266.2253057907181,-215.36964216513783,-156.40027396800537,-269.1429342172355,-245.53079891086867,-250.4593141770594,-169.07506692499686,-257.1987286076825,-273.06807228220094,-130.04117212376377,-239.30083558787135,-236.00396543249417,-316.888068490635,-240.5585150280171,-120.7877834535902,-130.42745239656367,-310.94828228654217,-180.7996564635461,-176.2703085543958,-344.56071562808285,-158.90423640819301,-239.10094536567505,-197.9255098955426,-55.48146961494891,-177.16086122218655,-329.1988572727631,-275.5224269561902,-317.53997486134875,-220.35349688946155,-63.09908226595111,-320.1170809123943,-141.75745879563215,-181.60770137874937,-44.78576325017585,-169.56331000371512,-101.30115559055056,-485.03554804943997,-212.00339626214162,-209.1484786109784,-210.17301822571164,-350.26720522979133,-199.56389201198985,-503.72722429401074,-288.8960613312852,-224.33942025770284,-215.85327413150867,-427.1143344035479,-134.87279298891022,-177.3040691652904,-326.8976315969952,-115.42715142193461,-93.65266246425556,-165.11249956290908,-247.59551968249644,-215.92247676720862,-246.50079366832875,-249.44895458895434,-157.20149036008056,-383.82570441525274,-227.91060777766512,-130.66474927379022,-274.0807949006853,-196.02811246524342,-434.7438133707588,-141.3010530059555,-172.2234068238477,-94.2206338795184,-181.93936832840194,-146.2345545534289,-146.3086542447423,-354.6134712084274,-161.4980114313078,-94.34712123041291,-210.2255074071695,-261.45004349080466,-353.3361836805714,-271.9720052130845,-358.1071688305632,-164.84303434777613,-176.44634995666064,-107.70923171076153,-332.3170414942284,-51.84836524369566,-218.87475862286223,-128.43950094614854,-440.58019904329126,-110.43801865165892,-146.9758925665086,-158.82456643033981,-236.68803689813248,-330.65761119443926,-136.00959911420273,-133.8395239348065,-753.3580346405188,-369.4390358814554,-279.5913876792741,-174.2893638682262,-108.32672732848252,-141.53012322761202,-240.96436396748337,-167.94551067835334,-378.36525809150044,-235.27049094266198,-362.67148049194907,-226.12727351389879,-143.9675947170407,-387.3214346136969,-183.2569248048648,-151.16134953168296,-258.21620898046893,-234.2971986314384,-144.8978075318763,-261.7035564918915,-271.7533989180767,-312.4811475336392,-436.05189180198954,-427.54653043723647,-168.5785547689693,-237.9407340579949,-214.48097543823596,-186.35759839030334,-182.87079845303148,-194.29373895668868,-299.7498060616723,-374.87088925672657,-270.4728780152183,-353.910154508623,-154.63220828953803,-166.69209226289743,-257.2095154826095,-215.28014641465234,-426.5428848083563,-205.1148200334209,-154.5225617714595,-373.05019921723124,-292.674060966806,-80.35296673556412,-207.53108514971697,-323.913838767022,-183.47574637785286,-252.14126667028506,-173.0438216021815,-209.8004675378583,-139.10195329926063,-206.15626393795648,-259.39122904770716,-138.3530232047452,-174.81974331609993,-154.57687074303684,-127.28398785280123,-123.23703052358312,-363.4175275766761,-274.51145675571763,-121.56069343524885,-292.58075549862195,-124.38890212605551,-208.83049076358031,-188.60858225862154,-172.16544116460958,-51.61738421121076,-234.24297757098392,-301.36916765573733,-157.85746453112844,-349.08005009208415,-68.805365004446,-253.76358114621905,-309.8809970421096,-99.22323424485931,-275.65361981668383,-372.72938987630204,-175.44185760464308,-502.71027353363314,-201.49803116918943,-315.87894318344183,-292.4454835042055,-109.63794104877849,-314.86971683941243,-371.4792542261888,-174.64320006090176,-142.76889966051786,-166.0330447440457,-284.9289484985411,-362.5950212337972,-133.42036664497851,-430.0279327153424,-141.48817724468898,-157.0157049439453,-251.3674295367062,-244.98400809017923,-145.60166800815577,-161.79226904435896,-76.86144580561238,-72.16189508737918,-94.2806331958698,-209.83816971396743
213,counts_averted,zero maize flour,-8.005856427852578,-39.16938676769444,-61.30760449727934,-6.868258491179035,-16.706481545303163,-24.253608999992526,-16.382718487908576,-14.168135017990314,-5.090097914679278,-18.012457794684543,-15.642995037953508,-13.062785696651407,-34.468307642495,-15.096068834109243,-10.749349767313069,-15.470316191758323,-3.164003824553694,-20.33706316883594,-27.442453147017375,-52.925162734660006,-8.329511061711152,-9.232103738667,-11.6891876162897,-23.799056236873103,-8.264971636426292,-11.050166321242482,-15.795986982926106,-13.828090630763024,-12.349473770297667,-12.17644289680525,-12.865237534606687,-6.610011897496803,-35.79346457435259,-7.883299290287049,-7.97235718229843,-27.385735809498854,-5.0553311874525555,-14.562532570676831,-8.930836444072153,-38.61887902808104,-5.519614967418372,-21.170550462406748,-13.200768248529586,-21.829765612281943,-16.63416878249495,-67.80227237509334,-10.602124611981816,-40.20167248484988,-47.59862257701796,-16.610654380013536,-23.023515219982404,-12.278898190017822,-26.33337443317702,-20.36904067680819,-44.5497192399369,-24.94353683807102,-2.222239615746357,-14.8635112814177,-27.256957545123978,-8.14027568034395,-12.456736527579945,-36.825692573976006,-5.296739351212373,-8.521573656886082,-19.607305220610066,-8.292444323962181,-7.322743795249798,-10.256327774997652,-21.39145180879976,-22.033477855083497,-11.177029081699905,-13.692329872630438,-30.629123853672745,-18.288448893151894,-35.51275395072102,-10.014682780520925,-11.736708067820764,-24.81748823360818,-3.0572910526260624,-23.140731752902155,-23.403788132561576,-18.59058449973787,-19.606319514341767,-10.682020903823226,-9.82902485585651,-19.81010389710017,-5.06059009815949,-8.665867895326894,-8.456887712803116,-24.16816531939025,-3.7729858146493025,-12.850297343804481,-12.148748676400054,-12.167784625350004,-10.572264246013681,-50.434426465862074,-10.29650079200729,-18.65336695777077,-12.124664311647738,-6.38308538141639,-6.518826942750783,-16.621992163457033,-29.100447823204483,-15.921922115368881,-11.191989758480235,-20.77117159857155,-12.034555914156247,-5.847473244663675,-4.254942042697433,-23.782217799061034,-27.76945697041328,-5.676483410442173,-12.98201542008245,-19.424449074796918,-13.265954318870191,-6.994679341788575,-9.740916584333629,-14.758028334475414,-15.519825253456764,-4.8549534433449395,-6.397461581232299,-5.8623761963372845,-15.359280463510842,-1.3044460940913225,-42.328332082908645,-15.7530955988205,-8.805016707175641,-3.0484841593412004,-12.380371647864527,-9.679672215168424,-19.38568115449544,-9.610407412196137,-20.590810510495007,-33.54738587209993,-10.491128353690227,-8.423259414501535,-24.885430711303666,-5.600938379928806,-4.937772429973652,-17.107442376646834,-20.838078649229292,-10.995541076678737,-13.465946162891814,-16.987559695362343,-11.230294000828199,-20.733430876010306,-22.01249971586664,-15.0994795166043,-18.28753846786543,-14.445954582858938,-32.40587200697388,-22.349412875063063,-17.628343604346373,-7.069975211598491,-8.56619840259945,-14.181368614892898,-11.47954267536128,-8.287492454340073,-20.084691655965955,-13.48605913228722,-7.502992328642048,-11.14763859054883,-19.69098084733104,-9.255609130419252,-13.292982300071543,-14.2636699006094,-7.055574124347665,-4.223384452166751,-21.987055099933723,-24.158087525002777,-31.84922513929745,-42.19058466921081,-5.703981014588586,-16.601525296750737,-6.9083653636807645,-21.64108273766987,-8.358305581619366,-5.819993726680548,-9.638645200153812,-9.461101444414886,-11.754410301459595,-8.19468828697063,-9.49076696810198,-4.187661907942187,-27.634096308719037,-4.940483035439835,-45.42703110167423,-31.570154102030962,-1.5880696555540625,-13.94728419216718,-37.92093761864486,-16.87604330273315,-28.369263242755665,-16.788892175983346,-6.902234738615655,-3.9652107253231836,-7.057114537432115,-16.961031812530017,-8.19579844242844,-4.991859452406455,-12.271270028790713,-17.337494762494227,-11.148614818108415,-13.631419548319705,-14.678059211058468,-8.165995804150398,-37.82273274957663,-20.222558069819502,-17.07246535876617,-61.09606568763621,-12.032655237415721,-7.301116733305035,-10.488134550940583,-42.883877300875874,-3.7341377760296743,-8.601731737834903,-14.120688153511905,-17.035253743004183,-19.940581856723433,-20.392714642190693,-10.04984340544312,-23.30319718461694,-7.624359818155886,-18.101740437712106,-3.5078218446497753,-10.922018600652276,-19.000468187571943,-18.802522350824834,-9.488088972483382,-31.853080656418726,-3.1382211570459937,-68.66580836383478,-6.9146777445801675,-15.658919638002338,-10.032459786726955,-10.58599771256079,-15.790648504409134,-20.144408201148202,-10.818595158054997,-19.38666302116377,-13.27119114520804,-6.494794844257265,-22.56591049120299,-23.096026491569088,-16.00652653046038,-7.446578039128897,-5.941644109163889,-5.1314869327813755,-12.265066479445677,-9.48549918089433
201,counts_averted,zero maize flour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
