location_id,location_name,sub_population,vehicle,value_description,nutrient,value_mean,value_025_percentile,value_975_percentile,u5_applicable,wra_applicable
214,Nigeria low SES,,zero wheat flour,percent of population eating fortified vehicle,folic acid,4.08,3.28,7.72,TRUE,TRUE
214,Nigeria low SES,,zero wheat flour,percent of population eating fortified vehicle,vitamin a,4.08,3.28,7.72,TRUE,TRUE
214,Nigeria low SES,,zero wheat flour,percent of population eating industrially produced vehicle,na,0,0,0,TRUE,TRUE
214,Nigeria low SES,,industry oil from lit,percent of population eating fortified vehicle,vitamin a,7.478677729,5.778677729,9.248347161,TRUE,TRUE
214,Nigeria low SES,,oil from lit,percent of population eating fortified vehicle,vitamin a,5.36,1.984,9.828,TRUE,TRUE
214,Nigeria low SES,,maize flour from lit,percent of population eating fortified vehicle,iron,0.256,0.112,0.432,TRUE,TRUE
214,Nigeria low SES,,maize flour from lit,percent of population eating fortified vehicle,zinc,0.256,0.112,0.432,TRUE,TRUE
214,Nigeria low SES,,maize flour from lit,percent of population eating fortified vehicle,folic acid,0.256,0.112,0.432,TRUE,TRUE
214,Nigeria low SES,,maize flour from lit,percent of population eating fortified vehicle,vitamin a,0.256,0.112,0.432,TRUE,TRUE
214,Nigeria low SES,,wheat flour from lit,percent of population eating fortified vehicle,iron,4.08,3.28,7.72,TRUE,TRUE
214,Nigeria low SES,,wheat flour from lit,percent of population eating fortified vehicle,zinc,4.08,3.28,7.72,TRUE,TRUE
214,Nigeria low SES,,wheat flour from lit,percent of population eating fortified vehicle,folic acid,4.08,3.28,7.72,TRUE,TRUE
214,Nigeria low SES,,wheat flour from lit,percent of population eating fortified vehicle,vitamin a,4.08,3.28,7.72,TRUE,TRUE
