location_name,vehicle,nutrient,standard,A,B,B_estimate,C,C_estimate
Angola,wheat flour,iron,Unknown,,,,,
Angola,wheat flour,zinc,Unknown,,,,,
Angola,wheat flour,folic acid,Unknown,,,,,
Angola,wheat flour,vitamin b12,Unknown,,,,,
Angola,wheat flour,vitamin b1,Unknown,,,,,
Angola,oil,vitamin a,Unknown,,,,,
Angola,oil,vitamin d,Unknown,,,,,
Angola,maize flour,iron,Unknown,,,,,
Angola,maize flour,zinc,Unknown,,,,,
Angola,maize flour,folic acid,Unknown,,,,,
Angola,maize flour,vitamin b12,Unknown,,,,,
Angola,maize flour,vitamin b1,Unknown,,,,,
Bangladesh,wheat flour,iron,Voluntary,62.35,38.241333333333344,1.0,0.0,1.0
Bangladesh,wheat flour,zinc,Voluntary,62.35,38.241333333333344,1.0,0.0,1.0
Bangladesh,wheat flour,folic acid,Voluntary,62.35,38.241333333333344,1.0,0.0,1.0
Bangladesh,wheat flour,vitamin b12,Voluntary,62.35,38.241333333333344,1.0,0.0,1.0
Bangladesh,wheat flour,vitamin b1,Voluntary,62.35,38.241333333333344,1.0,0.0,1.0
Bangladesh,wheat flour,vitamin a,Voluntary,62.35,38.241333333333344,1.0,0.0,1.0
Bangladesh,oil,vitamin a,Mandatory,80.78,87.95,0.0,25.623416000000006,1.0
Bangladesh,oil,vitamin d,Unknown,80.78,87.95,0.0,0.0,1.0
Burkina Faso,wheat flour,iron,Mandatory,52.3,52.300000000000004,1.0,17.38975,1.0
Burkina Faso,wheat flour,folic acid,Mandatory,52.3,52.300000000000004,1.0,32.164500000000004,1.0
Burkina Faso,wheat flour,zinc,Mandatory,52.3,52.300000000000004,1.0,,
Burkina Faso,wheat flour,vitamin b12,Mandatory,52.3,52.300000000000004,1.0,,
Burkina Faso,wheat flour,vitamin b1,Unknown,52.3,52.300000000000004,1.0,0.0,1.0
Burkina Faso,oil,vitamin a,Mandatory,48.906000000000006,,,72.5,0.0
Burkina Faso,oil,vitamin d,Unknown,48.906000000000006,,,0.0,1.0
Burkina Faso,maize flour,iron,Unknown,31.15,0.0,1.0,0.0,1.0
Burkina Faso,maize flour,zinc,Unknown,31.15,0.0,1.0,0.0,1.0
Burkina Faso,maize flour,folic acid,Unknown,31.15,0.0,1.0,0.0,1.0
Burkina Faso,maize flour,vitamin b12,Unknown,31.15,0.0,1.0,0.0,1.0
Burkina Faso,maize flour,vitamin b1,Unknown,31.15,0.0,1.0,0.0,1.0
Burkina Faso,bouillon,iron,Unknown,80.83333333333333,,,0.0,1.0
Burkina Faso,bouillon,zinc,Unknown,80.83333333333333,,,0.0,1.0
Burkina Faso,bouillon,folic acid,Unknown,80.83333333333333,,,0.0,1.0
Burkina Faso,bouillon,vitamin a,Unknown,80.83333333333333,,,0.0,1.0
Cameroon,wheat flour,iron,Mandatory,94.46363636363635,75.57090909090908,1.0,53.088563636363624,1.0
Cameroon,wheat flour,zinc,Mandatory,94.46363636363635,75.57090909090908,1.0,69.52523636363635,1.0
Cameroon,wheat flour,folic acid,Mandatory,94.46363636363635,75.57090909090908,1.0,69.52523636363635,1.0
Cameroon,wheat flour,vitamin b12,Mandatory,94.46363636363635,75.57090909090908,1.0,69.52523636363635,1.0
Cameroon,wheat flour,vitamin b1,Unknown,94.46363636363635,75.57090909090908,1.0,0.0,1.0
Cameroon,oil,vitamin a,Mandatory,68.79,,,30.49690000000001,1.0
Cameroon,oil,vitamin d,Unknown,68.79,,,0.0,1.0
Cameroon,maize flour,iron,Unknown,,,,,
Cameroon,maize flour,zinc,Unknown,,,,,
Cameroon,maize flour,folic acid,Unknown,,,,,
Cameroon,maize flour,vitamin b12,Unknown,,,,,
Cameroon,maize flour,vitamin b1,Unknown,,,,,
Cameroon,bouillon,iron,Voluntary,95.25714285714285,,,0.0,1.0
Cameroon,bouillon,zinc,Unknown,95.25714285714285,,,0.0,1.0
