location_name,vehicle,percent_of_population_eating_fortified_vehicle
Angola,oil,42.65612069759435
Bangladesh,oil,21.424785999999994
Burkina Faso,oil,48.333333333333336
Cameroon,oil,15.248450000000002
China,oil,32.785453880174956
Côte d'Ivoire,oil,60.75
Democratic Republic of the Congo,oil,0.0
Egypt,oil,23.6672819552196
Ethiopia,oil,0.0
Ghana,oil,21.799999999999997
India,oil,24.3
Indonesia,oil,21.162152524018367
Kenya,oil,0.0
Madagascar,oil,20.984240438430042
Mozambique,oil,37.5774
Myanmar,oil,0.0
Nepal,oil,0.0
Niger,oil,43.333333333333336
Nigeria,oil,4.933333333333334
Pakistan,oil,30.0
South Africa,oil,34.01331796536698
Sudan,oil,40.0
Uganda,oil,27.2
United Republic of Tanzania,oil,26.8
Viet Nam,oil,0.0
