,location_name,vehicle,nutrient,value_description,n_data_points,mean_mean,value_means
6,Angola,maize flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
7,Angola,maize flour,iron,percent of population eating fortified vehicle,0,,[nan]
8,Angola,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
9,Angola,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
10,Angola,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
11,Angola,maize flour,zinc,percent of population eating fortified vehicle,0,,[nan]
23,Angola,oil,vitamin a,percent of population eating fortified vehicle,0,,[nan]
24,Angola,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
36,Angola,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
37,Angola,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan]
38,Angola,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
39,Angola,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
40,Angola,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
41,Angola,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan]
53,Bangladesh,oil,vitamin a,percent of population eating fortified vehicle,0,,[nan]
54,Bangladesh,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
66,Bangladesh,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
67,Bangladesh,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan]
68,Bangladesh,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
69,Bangladesh,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
70,Bangladesh,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
71,Bangladesh,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan]
85,Burkina Faso,bouillon,folic acid,percent of population eating fortified vehicle,0,,[nan]
86,Burkina Faso,bouillon,iron,percent of population eating fortified vehicle,0,,[nan]
87,Burkina Faso,bouillon,vitamin a,percent of population eating fortified vehicle,0,,[nan]
88,Burkina Faso,bouillon,zinc,percent of population eating fortified vehicle,0,,[nan]
102,Burkina Faso,maize flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
103,Burkina Faso,maize flour,iron,percent of population eating fortified vehicle,0,,[nan]
104,Burkina Faso,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
105,Burkina Faso,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
106,Burkina Faso,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
107,Burkina Faso,maize flour,zinc,percent of population eating fortified vehicle,0,,[nan]
119,Burkina Faso,oil,vitamin a,percent of population eating fortified vehicle,2,72.5,"[70.0, 75.0]"
120,Burkina Faso,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
132,Burkina Faso,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
133,Burkina Faso,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan]
134,Burkina Faso,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
135,Burkina Faso,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
136,Burkina Faso,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
137,Burkina Faso,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan]
151,Cameroon,bouillon,folic acid,percent of population eating fortified vehicle,0,,[nan]
152,Cameroon,bouillon,iron,percent of population eating fortified vehicle,0,,[nan]
